cluster	count	casing patterns
a	77064	
e	67459	
ɛ	60092	
n	46427	
m	45495	
l	42598	
k	41274	
i	37125	
ŋ	32203	
ʼ	31821	
s	31693	
b	29189	
o	27014	
y	25455	
w	23688	
u	21107	
ↄ	19869	only_lower
r	19722	
g	17216	
c	13998	
t	11934	
d	11526	
j	9989	
f	8186	
p	3603	
ó	1380	
í	898	
ɛ́	623	
ↄ́	538	only_lower
á	483	
h	390	
ì	374	
é	337	
ɔ	302	only_upper
ɛ̀	302	
ò	232	
ú	202	
à	170	
v	134	
1	131	
ê	119	
ù	96	
ŋ̂	89	only_lower
è	75	
ɔ̀	69	only_upper
z	52	
2	41	
3	39	
5	33	
4	24	
ↄ̀	24	only_lower
6	20	
7	17	
8	17	
9	17	
0	14	
ŋ̀	6	
ŋ́	4	only_lower
ɔ́	3	only_upper
