cluster	count	casing patterns
ا	80708	
و	37690	
ي	30556	
ل	19572	
مْ	14766	
نْ	13058	
مَ	12919	
لْ	11091	
عْ	10642	
رْ	9488	
تْ	8714	
بْ	8430	
شْ	8219	
ة	7778	
لَ	6939	
لِّ	6862	
يْ	6346	
دْ	6190	
عَ	6017	
يَ	5967	
سْ	5960	
نَ	5831	
هُ	5777	
كُ	5572	
بَ	5532	
لِ	5519	
فِ	5410	
هَ	5276	
بِ	5245	
هْ	5225	
مِ	4753	
ى	4432	
حْ	4264	
كْ	4236	
وَ	4197	
حَ	4021	
قْ	3947	
إِ	3801	
رَ	3719	
قَ	3515	
كَ	3457	
مُ	3344	
يِ	3215	
نِ	3074	
أَ	2974	
تِ	2906	
وْ	2834	
لُ	2810	
لَّ	2708	
آ	2705	
خَ	2703	
فْ	2541	
شَ	2492	
تَ	2453	
تُ	2425	
كِ	2415	
رِ	2301	
سَ	2218	
جَ	2100	
دِ	2042	
رُ	2041	
قُ	2019	
دَ	1985	
سُ	1985	
خْ	1948	
ذَ	1905	
حِ	1850	
بُ	1811	
جْ	1794	
طْ	1788	
سِ	1735	
فَ	1662	
طِ	1642	
ةْ	1615	
نُ	1605	
وَّ	1518	
يَّ	1442	
نَّ	1406	
خِ	1384	
دُ	1353	
يُ	1326	
عِ	1267	
فُ	1208	
هِ	1189	
جِ	1173	
صَ	1144	
عُ	1144	
طَ	1142	
وِ	1137	
صْ	1124	
رَّ	1050	
أُ	960	
تَّ	943	
ضْ	900	
زَ	845	
ذْ	804	
قِ	789	
شِ	764	
زْ	762	
ء	741	
دَّ	726	
حُ	669	
ثْ	655	
رِّ	629	
شُ	593	
شَّ	580	
غَ	573	
مَّ	551	
يِّ	524	
خُ	522	
زِ	481	
صِ	472	
غْ	472	
ذِ	463	
نُّ	434	
دِّ	421	
رُّ	421	
جُ	420	
ثَ	407	
لُّ	374	
بَّ	352	
جِّ	332	
كَّ	321	
ضَ	317	
مِّ	316	
صَّ	309	
سَّ	306	
صُ	300	
ءْ	297	
نِّ	295	
بُّ	285	
بِّ	275	
دُّ	273	
طُ	271	
غِ	269	
وِّ	264	
ذُ	248	
ظْ	227	
ضِ	219	
ثِ	216	
أْ	215	
جَّ	211	
0	205	
شِّ	200	
عِّ	198	
زُّ	183	
ؤْ	179	
ظِ	177	
مُّ	169	
زُ	162	
ئِ	162	
وُ	160	
ضُ	148	
حَّ	145	
سِّ	145	
زِّ	130	
طَّ	130	
ضَّ	129	
زَّ	116	
سُّ	113	
كِّ	112	
ثُ	107	
ظَ	106	
غُ	106	
طُّ	103	
طِّ	98	
ثَّ	92	
شُّ	85	
ذَّ	77	
صِّ	76	
ضِّ	73	
تِّ	70	
خِّ	70	
تُّ	67	
حِّ	66	
هِّ	62	
ؤُ	55	
4	48	
قِّ	46	
فِّ	45	
فَّ	42	
1	40	
ظُ	40	
ڨْ	38	
ۑُّ	37	
ثِّ	36	
هَّ	35	
قُّ	34	
صُّ	32	
قَّ	32	
خَّ	29	
2	27	
ؤَ	25	
5	23	
ـ	22	
ئَ	18	
ڨَ	18	
ضّْ	17	
كُّ	17	
ڨِ	16	
3	14	
ئْ	14	
6	12	
بّْ	12	
هُّ	11	
ظَّ	10	
ظُّ	10	
عّْ	10	
7	9	
9	9	
ذِّ	9	
قّْ	9	
رّْ	8	
يُّ	8	
ءَ	6	
ةً	6	
عَّ	6	
8	5	
لّْ	5	
حُّ	4	
مّْ	4	
پِّ	4	
ڨِّ	4	
جُّ	3	
جّْ	3	
دّْ	3	
صّْ	3	
ظِّ	3	
لً	3	
يًّ	3	
ٱ	3	
ۑُ	3	
ثُّ	2	
ثّْ	2	
دً	2	
سّْ	2	
ضُّ	2	
فُّ	2	
فّْ	2	
نّْ	2	
اِ	1	
إ	1	
بً	1	
تّْ	1	
حّْ	1	
خُّ	1	
خّْ	1	
س	1	
طّْ	1	
كّْ	1	
هّْ	1	
ۑِّ	1	
