cluster	count	casing patterns
g	59514	
h	59007	
a	57129	
n	40445	
ə	39082	
e	36455	
u	34729	
o	30420	
k	29993	
t	27380	
l	27372	
ù	26551	
s	26200	
w	25831	
ò	21009	
z	20947	
m	20854	
d	17251	
ŋ	16922	
ə̀	16602	
ʼ	16185	
à	15443	
y	12225	
b	11756	
f	10623	
i	7306	only_lower
ɛ̀	6692	
ɛ	6659	
è	6627	
ɔ	6196	only_lower
â	5717	
ə̄	4942	only_lower
ì	4850	only_lower
ā	3910	only_lower
ô	3766	
û	2996	
î	2915	only_lower
ê	2485	
ɔ̀	2380	only_lower
ʉ	2116	only_lower
v	2068	
p	1893	
ū	1643	only_lower
ə̂	1622	only_lower
ʉ̀	1573	only_lower
ǒ	1120	
ō	1062	
ī	978	only_lower
ǹ	876	only_upper
ɔ̂	694	only_lower
ɛ̂	581	
ŋ̀	579	
c	571	
ɔ̄	530	only_lower
ē	525	
ǎ	454	
ɛ̄	446	only_lower
m̀	436	
ǔ	422	only_lower
ə̌	384	only_lower
ɔ̌	326	only_lower
ʉ̄	274	only_lower
ǐ	233	only_lower
ʉ̂	221	only_lower
ɛ̌	165	only_lower
ě	136	only_lower
ʉ̌	62	only_lower
1	5	
ẁ	5	only_lower
ň	4	
0	3	
4	3	
6	3	
n̂	2	only_upper
3	1	
5	1	
ỳ	1	only_lower
ŋ̌	1	only_upper
