cluster	count	casing patterns
a	170308	
n	136410	
ꞌ	120905	only_lower
o	83867	
e	77394	
i	73992	
t	65312	
ⁿ	52295	only_lower
m	49565	
j	48019	
c	46522	
u	42504	
y	40890	
s	37839	
d	29501	
w	21692	
ñ	20945	
l	19102	
o̱	17304	only_lower
a̱	16180	only_lower
q	13598	
h	10735	
x	7413	
r	3834	
ê	1875	only_lower
ú	1785	only_lower
p	1727	
â	1701	only_lower
í	1143	only_lower
b	1049	
é	703	
g	654	
f	489	
á	468	
î	319	only_lower
ó	312	only_lower
ô̱	289	only_lower
z	156	
v	136	only_lower
k	8	only_lower
ô	4	only_lower
â̱	2	only_lower
