cluster	count	casing patterns
n	179242	
a	113982	
ɛ	63700	
ɔ	60476	
m	55323	
l	45748	
ɩ	43165	
ʋ	35661	only_lower
k	35095	
i	32932	
b	32903	
y	31100	
s	27372	
u	25441	
e	23663	
w	16599	
t	15074	
ɩ́	14558	only_lower
z	10820	
f	10675	
d	9775	
h	8649	
ɛ́	8534	only_lower
o	8466	
g	6973	
p	5907	
j	5550	
á	2835	only_lower
c	2698	
ɔ́	2262	only_lower
ɛ̂	1941	only_lower
â	1300	only_lower
v	995	only_lower
ʋ́	537	only_lower
í	452	only_lower
ú	438	only_lower
é	362	only_lower
1	203	
ɩ̂	118	only_lower
2	93	
3	67	
4	56	
5	52	
ó	44	only_lower
6	38	
7	29	
8	28	
9	23	
0	18	
