cluster	count	casing patterns
ना	29666	
ङ्‌	23549	
ट्‌	22253	
ङ्	21155	
मा	20506	
ङा	18317	
हि	17201	
उ	13812	
क्	13634	
आ	13612	
नि	12016	
नु	11661	
चि	11168	
गा	10924	
या	10223	
म्‍	10022	
बा	9393	
ओ	9060	
सा	8691	
खा	8612	
ला	8606	
वा	8093	
चो	7796	
ए	7694	
न्‍	7411	
ङि	7378	
टु	7198	
हा	6908	
लो	6825	
पा	6576	
क्‍	6536	
रि	6377	
सु	5701	
मि	5629	
लि	5611	
प्‍	5495	
चा	5183	
गु	4731	
डे	4696	
र	4620	
यु	4606	
प्‌	4594	
डु	4491	
का	4202	
डो	3792	
सि	3734	
ड्‌	3508	
टा	3484	
ले	3484	
इ	3474	
न्	3456	
ट	3082	
टो	3081	
रो	3078	
से	3060	
बे	3037	
ग्‍	2979	
ये	2977	
ने	2931	
डा	2921	
स्‍	2845	
चे	2825	
न्‌	2788	
म्	2760	
बि	2702	
पि	2640	
सो	2563	
स	2396	
रा	2341	
भो	2177	
टे	2129	
मे	2080	
पो	1997	
टि	1965	
को	1918	
क्‌	1824	
छे	1818	
छा	1739	
ठा	1691	
ब्‍	1573	
मु	1418	
ठि	1367	
नाँ	1328	
ॽ	1314	
रु	1296	
खे	1272	
जा	1214	
खो	1201	
बो	1188	
गाँ	1107	
ठे	1075	
डि	1074	
गे	1053	
म्‌	1045	
फे	1044	
याँ	1024	
खि	1020	
ट्	1010	
ङे	949	
ल	939	
दा	926	
हु	902	
धा	867	
रे	858	
झा	822	
फा	786	
ति	769	
बु	742	
लु	717	
पे	714	
मो	711	
म	705	
धि	672	
पु	659	
जो	657	
ता	625	
हो	613	
न	564	
ठो	563	
चु	546	
दि	539	
छो	537	
ख्‍	533	
छु	516	
प	486	
भु	475	
प्	469	
हे	465	
कि	413	
भा	395	
गि	393	
ल्‍	389	
के	375	
थो	368	
ग्‌	364	
यो	363	
ब	341	
ठु	324	
नो	314	
द	293	
कु	289	
झे	280	
जु	260	
था	254	
जि	244	
च्‍	239	
द्‌	239	
खु	229	
घु	229	
ङु	227	
भे	213	
य	208	
गो	204	
फो	198	
फु	187	
ज	184	
ब्	183	
दे	181	
भ्‍	172	
लाँ	166	
ते	164	
त	162	
जे	155	
फि	154	
छि	153	
झो	153	
ल्	151	
दो	147	
ब्‌	144	
व्‍	144	
सै	132	
ढु	130	
स्‌	129	
भि	120	
थि	118	
क	112	
घा	108	
झै	108	
ग्	101	
ध्‍	100	
आँ	98	
साँ	98	
फ	92	
दु	88	
ल्‌	87	
रै	82	
ठुँ	81	
कै	77	
काँ	74	
वाँ	74	
औ	70	
ध	68	
ढाँ	65	
त्‍	64	
ह	54	
नै	53	
ज्‍	51	
तु	51	
माँ	50	
थु	48	
ढा	47	
ढो	45	
त्‌	44	
धो	44	
राँ	44	
धु	43	
ग	38	
थ	38	
फ्	37	
गै	36	
वे	32	
हाँ	32	
डै	31	
बै	31	
तो	30	
थे	30	
उँ	28	
जाँ	25	
जै	23	
भाँ	22	
१	22	
चौ	20	
टों	19	
धै	19	
चाँ	18	
यि	18	
ड	17	
घे	16	
मै	16	
हुँ	16	
त्	15	
सां	15	
च्‌	14	
ठ्‌	14	
धाँ	14	
ख	13	
घि	13	
ङै	13	
स्	13	
खै	12	
च	12	
टाँ	12	
टै	12	
झु	11	
ढि	11	
थाँ	11	
मौ	11	
५	11	
झाँ	9	
धे	9	
पाँ	9	
लौ	9	
२	9	
६	9	
कें	8	
ह्	8	
झि	7	
भ	7	
३	7	
तौँ	6	
र्‌	6	
८	6	
घाँ	5	
टौँ	5	
पौ	5	
०	5	
४	5	
ओे	4	
कुँ	4	
घो	4	
घ्	4	
चिँ	4	
चौं	4	
छै	4	
बाँ	4	
सिं	4	
७	4	
एँ	3	
कौ	3	
खाँ	3	
चें	3	
चौँ	3	
डाँ	3	
ड्	3	
ढे	3	
पें	3	
पै	3	
किं	2	
ङ	2	
च्	2	
छैं	2	
छौ	2	
छ्‌	2	
ज्	2	
ज्‌	2	
झ्	2	
झ्‍	2	
ठौँ	2	
ढ्‌	2	
ताँ	2	
तौ	2	
दै	2	
नें	2	
फौ	2	
सौँ	2	
है	2	
९	2	
अ	1	
औं	1	
चै	1	
छ	1	
छाँ	1	
जौ	1	
टोँ	1	
ठ	1	
ठाँ	1	
दौ	1	
पेँ	1	
फै	1	
फ्‍	1	
भै	1	
रौँ	1	
वौँ	1	
हिँ	1	
