cluster	count
ا	92805
ل	61704
ي	38589
و	36167
ن	24329
م	21612
أ	18046
ع	15130
ف	13345
نَ	12215
ب	12073
هُ	10809
ر	10480
مَ	10393
تَ	9990
س	9863
ه	8878
ى	8821
إ	7931
هِ	7931
مِ	7686
ق	7654
يَ	7353
د	7275
بَ	6680
مُ	6002
ح	5944
كَ	5922
كُ	5919
لِ	5674
ك	5611
نّ	5279
عَ	5217
ذ	5193
ت	5100
سَ	5091
لَ	5038
رَ	5002
بِ	4617
حَ	4486
دَ	4096
رِ	3883
ةِ	3832
ج	3601
تُ	3469
تِ	3209
قَ	3129
دِ	2970
عِ	2844
نِ	2739
فَ	2726
خ	2656
جَ	2642
يُ	2468
وَ	2332
رُ	2313
ص	2300
لّ	2207
يِّ	2192
ط	2184
لُ	2174
حِ	2068
دُ	2031
هَ	1929
يّ	1900
ئ	1884
ش	1819
سِ	1807
بُ	1724
شَ	1700
خَ	1696
نُ	1665
ث	1644
ض	1580
أَ	1262
ؤ	1242
آ	1235
ءِ	1227
عُ	1227
مّ	1226
سُ	1173
قُ	1170
ةَ	1163
أُ	1123
ز	1117
نَّ	1107
طَ	1092
ة	1055
سَّ	1035
صَ	1029
لَّ	1016
لِّ	1009
غ	981
اً	963
غَ	961
كِ	957
ةً	954
قِ	949
فِ	948
رَّ	946
ثُ	941
ةُ	924
ءَ	922
حُ	917
ضَ	891
ةٍ	877
جِ	851
تّ	837
جُ	835
دَّ	813
ضِ	740
ثَ	735
ئِ	681
ذَ	677
فُ	671
ذِ	647
زَ	606
تَّ	599
ظ	565
شَّ	550
اّ	546
دً	534
رً	533
خُ	532
يُّ	514
صِ	498
شِ	492
خِ	485
صَّ	472
مَّ	466
دِّ	459
يَّ	456
لُّ	452
ظَ	447
ةٌ	438
سّ	417
دُّ	416
مً	415
رّ	402
بّ	397
طِ	391
دٍ	378
رِّ	378
رُّ	356
مٍ	349
دّ	345
ذُ	340
ضُ	337
نٍ	334
عً	318
ضً	308
لٍ	303
رٍ	302
زِ	295
رٌ	286
ء	283
وّ	283
بَّ	275
بً	272
ءُ	270
دٌ	266
تٍ	260
جَّ	244
وُ	241
بِّ	239
تْ	239
قَّ	239
صّ	238
ثِ	233
صُ	232
شُ	224
زَّ	222
نً	222
نِّ	212
بُّ	211
لْ	204
ظُ	200
بٍ	194
يًّ	193
ءٍ	190
لٌ	187
وِ	187
مٌ	183
طُ	182
نْ	181
طَّ	180
غِ	174
وَّ	174
سُّ	158
شّ	157
قِّ	151
نٌ	144
قً	137
نُّ	136
جّ	135
مْ	133
زُ	132
رْ	130
ـ	130
ذٍ	128
يْ	126
اِ	120
فً	117
جِّ	116
ظِ	114
يً	113
سِّ	111
ثّ	108
ئً	104
ءً	102
ضّ	102
قٍ	102
مُّ	101
حً	99
بٌ	98
غُ	98
قُّ	98
ضَّ	97
كَّ	97
بْ	96
قّ	96
شِّ	94
شُّ	93
ءٌ	90
وِّ	88
إِ	86
مِّ	85
سً	84
عْ	84
دْ	83
يٌّ	80
هَّ	79
كً	78
تِّ	77
ذَّ	77
عٍ	77
كّ	76
زّ	74
طّ	73
اُ	72
ضٍ	72
ؤُ	72
فٍ	71
تٌ	67
سٍ	67
كِّ	64
فَّ	61
يٍّ	60
قٌ	59
حٍ	58
عٌ	57
ذِّ	56
حّ	54
تُّ	52
فٌ	52
فّ	50
ذّ	48
ضِّ	48
فْ	47
تً	46
ثَّ	46
طُّ	46
سْ	45
وْ	45
حٌ	44
صُّ	44
صِّ	44
قًّ	44
هِّ	44
حِّ	42
ذُّ	42
حْ	41
صً	41
ظُّ	39
رًّ	38
صٍ	38
هً	38
قْ	37
يِ	37
حَّ	36
طِّ	36
زً	35
فِّ	35
ئَ	35
كٌ	33
زِّ	31
ضٌ	31
جٍ	30
سٌ	30
ظَّ	30
كْ	30
هُّ	28
ئُ	28
جً	27
كٍ	26
خً	25
صْ	25
اَّ	24
جْ	24
زٌ	24
زُّ	24
لٌّ	24
ثً	23
شً	23
ثِّ	21
ضْ	21
0	19
جُّ	19
ظّ	19
قٍّ	19
اَ	18
خَّ	18
صٌ	18
ذْ	17
طٍ	17
ؤَ	17
ثْ	16
دًّ	16
5	15
جٌ	15
ضُّ	15
هْ	15
يٌ	15
خّ	14
سٌّ	14
ظً	14
كُّ	14
هٍ	14
ىً	14
بًّ	13
ذً	13
طً	13
غْ	13
فُّ	13
شٍ	12
عَّ	12
قٌّ	12
كٍّ	12
ثٌ	11
حُّ	11
رٍّ	11
زٍ	11
هّ	11
1	10
خٌ	10
خِّ	10
خْ	10
دٍّ	10
رٌّ	10
وُّ	10
3	9
اًّ	9
بٌّ	9
ظْ	9
غً	9
لٍّ	9
مًّ	9
6	8
أْ	8
ثُّ	8
دٌّ	8
شْ	8
هٌ	8
وً	8
2	7
زْ	7
صًّ	7
طٌ	7
يٍ	7
ثٍ	6
خٍ	6
شٌ	6
إٍ	5
طْ	5
ظِّ	5
مٍّ	5
وٍ	5
ءْ	4
ظٍ	4
وٌ	4
4	3
بٍّ	3
ةْ	3
جًّ	3
ذٌ	3
ظٌ	3
عُّ	3
غٌ	3
غٍ	3
لً	3
وًّ	3
ؤِ	3
ؤْ	3
ئْ	3
9	2
خًّ	2
خُّ	2
عِّ	2
فًّ	2
كًّ	2
مٌّ	2
نًّ	2
وٌّ	2
وٍّ	2
ئٌ	2
7	1
أً	1
أٌ	1
أِ	1
ا‌	1
ةًَ	1
جٍّ	1
رُُ	1
زٍّ	1
سًّ	1
شٌّ	1
شٍّ	1
صٌّ	1
صٍّ	1
عًّ	1
عّ	1
ـُ	1
ـِ	1
ـْ	1
كََ	1
كَ‌	1
لًّ	1
لََّ	1
نٌّ	1
نٍّ	1
ؤٌ	1
ىَّ	1
َ	1
ِ	1
