cluster	count	casing patterns
ا	77853	
ل	50074	
ي	49885	
و	32954	
م	29222	
ن	27704	
د	22826	
ك	17174	
ب	16974	
ع	16418	
ت	13844	
ر	13475	
ح	11694	
س	11557	
ش	11511	
ف	10506	
وْ	9905	
ة	8323	
ق	7991	
لّ	7652	
ه	7416	
ج	5562	
ى	4075	
خ	3584	
ط	3378	
غ	3266	
كُ	3243	
أ	2843	
وَ	2693	
يَ	2618	
هُ	2352	
هَ	2256	
يّ	2190	
ص	2156	
دّ	1961	
إ	1842	
تّ	1839	
ز	1683	
نْ	1647	
مَ	1629	
ض	1472	
بّ	1470	
لّٰ	1359	
بْ	1355	
تْ	1305	
رّ	1305	
عْ	1160	
نّ	1159	
مّ	1145	
آ	1130	
رَّ	755	
زّ	674	
اْ	651	
رْ	645	
تَ	638	
وّ	622	
ظ	603	
جّ	596	
أَ	588	
بِ	559	
مُ	515	
تُ	514	
أُ	510	
لِ	489	
ئ	478	
فْ	463	
سْ	461	
رُ	429	
كَ	429	
لْ	426	
قّ	400	
رَ	399	
مْ	395	
لُ	382	
حَ	357	
لَ	340	
ݣ	338	
ء	324	
بَ	320	
صّ	317	
ـ	311	
قُ	300	
تِ	298	
دْ	288	
دَ	279	
حْ	274	
قْ	274	
شّ	267	
طْ	260	
كّ	255	
مِ	243	
دُ	242	
بُ	236	
ؤ	230	
خّ	229	
قَ	225	
طَ	223	
عَ	223	
جَ	221	
طّ	207	
جْ	202	
يَّ	196	
اِ	190	
خُ	180	
صْ	175	
شَ	172	
وِ	150	
صَ	149	
حُ	146	
عُ	140	
خْ	133	
سُ	130	
شْ	127	
غَ	124	
سّ	122	
نَ	117	
كْ	112	
حّ	107	
سِ	103	
نِ	103	
فَ	99	
هّ	99	
رِ	92	
سَ	91	
هْ	89	
مً	87	
ث	81	
طُ	80	
ڭ	76	
غْ	75	
شَّ	72	
ؤَ	68	
رُّ	67	
زَ	67	
نَّ	61	
فِ	56	
ضَّ	55	
رِّ	53	
عّ	50	
يْ	47	
خَ	46	
فّ	46	
تَّ	45	
بُّ	42	
دِ	42	
بً	41	
صِ	39	
فُ	36	
هِ	33	
جُ	30	
زْ	30	
ي‍	30	
عِ	29	
ضّ	26	
ضَ	23	
ضْ	20	
دُّ	19	
غُ	19	
نُ	18	
زّْ	17	
كِ	17	
ضُ	16	
صً	15	
سُّ	12	
ظْ	12	
مَّ	12	
ت‍	11	
حِ	11	
غِ	11	
جِ	10	
صِّ	10	
صُ	9	
طِ	9	
ظّ	9	
نُّ	9	
تُّ	8	
خِ	8	
شِ	8	
لُّ	8	
جُّ	7	
زِ	7	
ضُّ	7	
لَّ	7	
يُ	7	
اً	6	
بَّ	6	
ثَ	6	
دَّ	6	
شُّ	6	
وُ	6	
ݣُ	6	
زُ	5	
لً	5	
دً	4	
صُّ	4	
ن‍	4	
تِّ	3	
تّْ	3	
جَّ	3	
صَّ	3	
لِّ	3	
يِ	3	
بْ‍	2	
زِّ	2	
سَّ	2	
طَّ	2	
ظَ	2	
عً	2	
غّ	2	
قُّ	2	
كُّ	2	
ل‍	2	
مُّ	2	
ئ‍	2	
ݣَ	2	
اّ	1	
ب‍	1	
ب‍ْ	1	
ثْ	1	
دِّ	1	
رً	1	
زَّ	1	
سِّ	1	
شُ	1	
ظُ	1	
ظُّ	1	
لّْ	1	
مِّ	1	
م‍	1	
يًّ	1	
يِّ	1	
ڭَ	1	
ڭْ	1	
