cluster	count
ا	87963
ل	58870
ي	36224
و	34299
ن	23238
م	20777
أ	17257
ع	14591
ف	12880
ب	11612
نَ	11490
هُ	10091
ر	10014
مَ	9796
س	9551
تَ	9087
ه	8487
ى	8469
إ	7652
هِ	7555
ق	7421
مِ	7250
د	6936
يَ	6782
بَ	6319
مُ	5754
كُ	5724
ح	5678
ك	5411
لِ	5321
كَ	5306
نّ	5112
ت	4941
ذ	4906
سَ	4902
عَ	4853
لَ	4604
رَ	4514
بِ	4224
حَ	4212
دَ	3913
ةِ	3765
رِ	3635
ج	3420
تُ	3249
تِ	3019
قَ	2880
دِ	2834
عِ	2731
نِ	2648
خ	2554
جَ	2486
فَ	2400
يُ	2304
رُ	2174
ص	2168
يِّ	2168
ط	2123
وَ	2051
لُ	2019
حِ	1994
لّ	1956
دُ	1911
يّ	1858
ئ	1833
هَ	1736
ش	1722
سِ	1716
بُ	1609
خَ	1599
شَ	1596
نُ	1587
ث	1562
ض	1507
ؤ	1222
مّ	1191
ءِ	1177
آ	1156
ةَ	1135
عُ	1134
سُ	1105
ز	1056
قُ	1054
ة	1052
أُ	1034
طَ	1007
نَّ	1004
سَّ	976
صَ	961
لَّ	946
اً	936
لِّ	930
ةً	923
غ	914
ثُ	910
رَّ	898
ةُ	897
غَ	897
فِ	893
كِ	879
ءَ	876
قِ	866
ةٍ	851
حُ	841
ضَ	824
جُ	803
تّ	788
جِ	776
دَّ	766
أَ	751
ثَ	696
ضِ	669
ذَ	637
فُ	626
ذِ	622
ئِ	580
زَ	571
تَّ	569
ظ	534
شَّ	527
اّ	512
يُّ	494
خُ	489
رً	487
دً	461
صِ	448
خِ	447
صَّ	442
دِّ	440
شِ	437
ظَ	426
مَّ	422
ةٌ	417
سّ	412
لُّ	412
دُّ	396
يَّ	390
رّ	386
مً	386
بّ	362
دٍ	361
رِّ	351
طِ	349
رُّ	341
دّ	335
مٍ	331
ضُ	322
نٍ	319
ضً	303
ذُ	299
عً	298
لٍ	288
ء	282
رٍ	282
وّ	274
دٌ	265
رٌ	265
زِ	262
ءُ	255
بً	255
بَّ	252
تٍ	249
قَّ	238
جَّ	237
صّ	227
ثِ	213
وُ	212
زَّ	210
نِّ	210
شُ	208
نً	206
صُ	197
تْ	195
يًّ	189
ءٍ	178
لٌ	176
ظُ	175
بِّ	174
بٍ	173
طَّ	172
لْ	164
وِ	164
نْ	163
طُ	160
مٌ	159
شّ	154
وَّ	154
غِ	146
سُّ	144
قِّ	142
بُّ	137
نٌ	135
جّ	132
قً	132
نُّ	130
ذٍ	124
زُ	117
مْ	116
فً	115
ـ	114
يْ	111
رْ	109
سِّ	109
اِ	108
ثّ	108
يً	105
ظِ	103
جِّ	101
ضّ	101
ءً	97
ئً	97
قُّ	96
حً	94
قّ	93
مُّ	93
ضَّ	90
قٍ	89
غُ	87
شُّ	86
ءٌ	82
بٌ	82
بْ	82
شِّ	82
وِّ	82
كَّ	81
إِ	79
مِّ	78
يٌّ	77
هَّ	76
سً	75
كً	74
دْ	73
عٍ	73
ذَّ	72
زّ	72
عْ	71
تِّ	70
ضٍ	70
كّ	69
اُ	68
طّ	68
فٍ	67
سٍ	64
تٌ	62
كِّ	59
فَّ	57
قٌ	57
حٍ	56
ذِّ	56
يٍّ	56
حّ	54
عٌ	53
ؤُ	52
ذّ	48
فٌ	48
ضِّ	47
تُّ	46
ثَّ	44
فّ	44
قًّ	44
تً	43
سْ	43
طُّ	43
حٌ	42
ذُّ	41
فْ	41
حِّ	40
هِّ	40
صُّ	39
صً	38
صٍ	38
هً	38
وْ	38
رًّ	37
حَّ	35
طِّ	35
حْ	34
صِّ	34
ظُّ	34
فِّ	33
قْ	33
يِ	33
كٌ	32
زً	31
ئَ	30
زِّ	29
ضٌ	29
جً	27
هُّ	27
سٌ	26
زٌ	24
ئُ	24
جٍ	23
كْ	23
خً	22
شً	22
كٍ	22
لٌّ	22
ثً	21
ظَّ	21
اَّ	20
ثِّ	20
زُّ	20
0	19
جُّ	19
صْ	19
قٍّ	19
ضْ	18
جْ	17
طٍ	17
اَ	16
5	15
خَّ	15
دًّ	15
يٌ	15
سٌّ	14
صٌ	14
ضُّ	14
ظً	14
ظّ	14
هْ	14
ىً	14
ثْ	13
ذً	13
هٍ	13
جٌ	12
خّ	12
شٍ	12
كٍّ	12
ؤَ	12
ثٌ	11
حُّ	11
زٍ	11
عَّ	11
كُّ	11
1	10
بًّ	10
خْ	10
دٍّ	10
ذْ	10
رٌّ	10
رٍّ	10
طً	10
قٌّ	10
وُّ	10
3	9
بٌّ	9
خٌ	9
خِّ	9
غً	9
غْ	9
لٍّ	9
مًّ	9
6	8
دٌّ	8
شْ	8
هٌ	8
وً	8
2	7
اًّ	7
صًّ	7
هّ	7
يٍ	7
أْ	6
ثٍ	6
ثُّ	6
خٍ	6
طٌ	6
ظْ	6
زْ	5
شٌ	5
فُّ	5
وٍ	5
ءْ	4
طْ	4
ظِّ	4
وٌ	4
4	3
بٍّ	3
ةْ	3
جًّ	3
ظٍ	3
عُّ	3
غٌ	3
غٍ	3
مٍّ	3
وًّ	3
ؤِ	3
ؤْ	3
9	2
إٍ	2
خُّ	2
ذٌ	2
عِّ	2
فًّ	2
مٌّ	2
نًّ	2
وٍّ	2
ئٌ	2
ئْ	2
7	1
أً	1
أٌ	1
أِ	1
ةًَ	1
جٍّ	1
خًّ	1
رُُ	1
زٍّ	1
سًّ	1
شٍّ	1
صٌّ	1
صٍّ	1
عًّ	1
عّ	1
كًّ	1
كََ	1
لًّ	1
لََّ	1
نٌّ	1
نٍّ	1
وٌّ	1
ىَّ	1
َ	1
ِ	1
