cluster	count	casing patterns
a	97414	
i	90728	
ɛ	67228	
e	60198	
l	52191	
ɔ	46708	
k	46032	
n	44525	
b	39394	
u	34138	
s	31289	
m	29025	
y	26139	
o	23475	
t	21037	
g	19463	
p	17424	
d	14182	
z	12393	
w	10793	
í	9990	only_lower
ʋ	7089	
r	6986	
ŋ	5104	
x	4825	
f	3636	
ɔ̀	1939	only_lower
h	1678	
ã	1520	only_lower
á	1257	only_lower
v	1075	
ɔ́	1011	
ì	708	only_lower
ú	547	only_lower
é	506	only_lower
ã́	430	only_lower
ù	378	only_lower
è	245	
ɖ	209	
ó	202	
à	186	only_lower
ɛ́	156	only_lower
ɛ̀	110	only_lower
1	61	
ò	57	only_lower
ũ	56	only_lower
2	30	
ĩ	26	only_lower
3	21	
ã̀	20	only_lower
4	16	
9	9	
0	8	
8	8	
ɔ̃	7	only_lower
5	6	
7	5	
ɛ̃	4	only_lower
6	3	
ũ̀	3	only_lower
ƒ	3	only_lower
c	2	
ɩ	2	only_lower
