cluster	count
ا	14193
ل	12517
ي	9015
و	8520
ن	8049
م	6972
ب	5260
ه	4844
ر	4794
ع	4392
ك	3419
ت	3415
ف	3355
أ	2997
د	2987
ق	2673
س	2529
ح	2214
ة	1829
ج	1439
إ	1329
ش	1229
خ	1005
ص	763
ى	744
ذ	711
ط	654
ز	646
ض	623
ث	608
ئ	369
غ	366
لّ	243
نّ	232
ء	224
مّ	198
اً	167
يّ	151
رّ	131
ظ	118
دّ	108
مُ	97
وّ	90
أُ	86
كِ	84
آ	69
يُ	66
صّ	62
هُ	57
عُ	51
قّ	47
بّ	46
ؤ	41
سّ	39
زّ	33
طّ	24
جّ	21
فّ	20
كّ	20
تُ	19
تّ	19
ضّ	18
اّ	12
دُ	12
قُ	12
حّ	11
نَّ	11
تِ	10
خُ	10
سُ	10
ثّ	9
كُ	9
لِ	9
شّ	8
ـ	8
حُ	7
ذّ	7
خّ	6
لَ	6
نَ	6
اُ	5
جُ	5
رُ	5
شُ	5
عّ	5
مِ	5
هّ	5
أُُ	4
بُ	3
ةُ	3
نُ	3
نُُ	3
إِ	2
بِ	2
دِ	2
طُ	2
ظّ	2
غُ	2
اًً	1
أّ	1
ب‍	1
تُُ	1
ثِ	1
حَّ	1
حِ	1
خْ	1
دُُ	1
ذُ	1
رِ	1
رْ	1
صُ	1
صِ	1
ضٍ	1
ضُ	1
ضِ	1
عِ	1
عّّ	1
غّ	1
غْ	1
قْ	1
لُ	1
لّّ	1
مَ	1
مْ	1
نً	1
هً	1
هَ	1
وُ	1
ؤُ	1
ىّ	1
ئُ	1
يِ	1
َ	1
ِ	1
