cluster	count	casing patterns
ا	130990	
ن	91059	
ت	67608	
ی	63008	
ر	54006	
ه	53734	
و	49377	
م	42026	
د	40458	
ک	38358	
ئ	32749	
گ	30773	
ب	29905	
ے	28927	
ێ	27148	
س	22710	
ش	20804	
پ	16954	
ل	14072	
ۆ	13550	
چ	12443	
آ	11404	
ز	9088	
اَ	7456	
اِ	6946	
ج	6048	
هُ	5766	
وَ	5200	
کّ	4409	
سّ	3235	
رَ	3131	
کَ	2454	
مَ	2004	
چُ	1985	
یَ	1886	
مُ	1874	
رّ	1867	
تَ	1796	
نَ	1750	
پَ	1724	
جّ	1692	
ڑ	1644	
شَ	1635	
گ‌	1542	
مِ	1488	
سَ	1471	
دَ	1403	
گَ	1215	
بَ	1202	
ڈ	1163	
پِ	1157	
زّ	1144	
کِ	1128	
کُ	1118	
هَ	1054	
رُ	942	
ٹ	919	
بُ	891	
نّ	844	
گُ	840	
هِ	838	
نِ	835	
سِ	763	
دْ	709	
شّ	707	
گِ	696	
ه‌	690	
جَ	689	
پُ	676	
تِ	673	
لّ	670	
بِ	657	
ڈّ	603	
تُ	592	
رِ	574	
چّ	566	
ژ	565	
مّ	552	
لَ	539	
لُ	519	
سُ	505	
جُ	488	
زَ	480	
زِ	456	
ن‌	409	
اُ	400	
چِ	396	
چَ	385	
پّ	376	
ت‌	374	
تْ	371	
شُ	354	
سُّ	311	
نُ	310	
دِ	290	
شِ	278	
جِ	270	
دُ	263	
لِ	201	
ی‌	192	
دّ	181	
تّ	177	
گّ	175	
ٹّ	171	
ئِ	162	
زُ	156	
گْ	155	
نْ	126	
سْ	124	
پْ	124	
ٹَ	113	
بَّ	107	
بْ	103	
ڈَ	99	
1	77	
ٹُ	69	
ژّ	66	
بّ	62	
کْ	58	
پ‌	57	
کَّ	57	
ڈُ	53	
وِ	49	
زَّ	48	
ک‌	48	
0	44	
رَّ	44	
چَّ	42	
نِّ	40	
م‌	39	
کِّ	36	
رْ	34	
2	33	
ٹِ	33	
مُّ	31	
9	27	
شْ	27	
یِ	27	
رِّ	26	
ڑَ	26	
5	25	
شِّ	25	
یّ	24	
نُّ	23	
3	22	
شَّ	22	
لَّ	22	
8	21	
مِّ	21	
ب‌	20	
لْ	20	
6	19	
ڈَّ	19	
7	18	
ل‌	18	
ڈِّ	18	
کُّ	18	
گِّ	18	
زِّ	17	
دَّ	13	
مْ	12	
نَّ	12	
ٹِّ	12	
س‌	11	
هْ	11	
چِّ	11	
سَّ	10	
4	9	
رُّ	9	
لِّ	9	
پِّ	9	
تَّ	8	
ٹَّ	8	
ڈِ	8	
ڑِ	8	
مَّ	7	
ے‌	7	
پَّ	6	
جَّ	5	
پُّ	5	
چُّ	5	
یَّ	5	
یُ	5	
زُّ	4	
سِّ	4	
ر‌	3	
ۆَ	3	
شّ‌	2	
لُّ	2	
ٹ‌	2	
ا‌	1	
تِّ	1	
جِّ	1	
د‌	1	
زْ	1	
شُّ	1	
ش‌	1	
فَّ	1	
فّ	1	
نّ‌	1	
وْ	1	
و‌	1	
ِ	1	
چْ	1	
ڈُّ	1	
ۆِ	1	
