cluster	count	casing patterns
ङ्‌	26125	
अ़	21433	
ओ	20822	
न्‍	20210	
चि	17050	
ना	16765	
का	14648	
नि	14594	
मा	13969	
आ	13948	
दा	12886	
खो	12445	
ङ	12424	
खा	12098	
कि	11979	
वा	11411	
सा	10818	
म्‍	10124	
न	10065	
क्‍	8843	
म़	8651	
त्‍	7080	
मो	6954	
लो	6569	
या	6245	
ङा	6152	
पा	6093	
ता	5591	
हा	5407	
छा	5113	
न्‌	5024	
तु	4994	
रा	4973	
को	4871	
ला	4830	
चु	4806	
सु	4754	
नु	4597	
य़	4564	
ए	4202	
यु	4164	
मु	4043	
प्‍	3742	
क्‌	3325	
क	3078	
मे	2732	
रि	2711	
दे	2641	
म	2641	
त	2619	
सि	2571	
ये	2565	
ऩ	2522	
त़	2473	
सो	2408	
मि	2393	
म्‌	2300	
लि	2128	
च़	1824	
चा	1757	
झा	1661	
छ़	1583	
से	1576	
बु	1565	
रु	1540	
ले	1536	
दो	1516	
लु	1510	
दि	1483	
प़	1470	
तो	1467	
दु	1456	
हु	1449	
त्‌	1395	
स	1363	
ब़	1334	
हे	1334	
पो	1237	
ति	1232	
इ	1184	
यो	1109	
ने	1084	
खि	1070	
स्‍	1041	
ऱ	1040	
ह़	936	
स़	927	
हि	902	
बा	860	
य	859	
छु	832	
प	831	
प्‌	801	
छे	792	
ख्	775	
उ	773	
पु	722	
धि	704	
ह	676	
स्‌	633	
फा	624	
ग़	606	
कु	605	
धे	574	
क़	549	
चे	523	
खे	520	
पि	517	
द्‍	495	
र	469	
धा	455	
व	451	
धु	414	
ङु	405	
ह्‍	398	
हो	395	
छि	388	
अ	367	
ल	354	
छो	344	
ल्‌	318	
द़	316	
छ्‍	314	
खु	313	
द	309	
चो	308	
भु	307	
था	306	
ङ्‍	297	
फे	288	
त्	281	
ते	278	
रो	268	
बि	262	
ङि	245	
पे	236	
भे	225	
फि	217	
के	216	
ब	214	
फ	192	
वे	182	
थे	170	
बो	170	
ख़	168	
जे	165	
रे	153	
थु	148	
स्	148	
र्	146	
ज्‍	143	
बे	143	
गा	142	
क्	128	
ब्	125	
सै	119	
गु	115	
फो	114	
ङे	113	
थि	109	
ल़	107	
फु	91	
भा	82	
भ़	79	
ज	76	
जा	76	
व़	76	
ल्‍	75	
ग	72	
नो	71	
द्‌	66	
ग्	64	
च्‍	64	
कै	59	
थो	56	
जो	53	
भो	52	
च्‌	47	
झो	46	
यि	45	
ख	42	
वि	42	
ब्‍	41	
ब्‌	38	
वो	38	
थ	37	
थ़	37	
प्	31	
फ्‌	31	
जु	25	
द्	25	
छ	24	
च	23	
१	23	
जै	19	
ग्‍	16	
घा	16	
जि	15	
गि	14	
गे	14	
चौ	14	
ध़	14	
खै	12	
फ्	12	
थ्‌	11	
फ़	10	
म्	10	
लौ	9	
२	9	
मै	8	
नै	7	
३	7	
ध	6	
नौ	6	
गो	5	
घु	5	
ज्‌	5	
धो	5	
०	5	
४	5	
५	5	
७	5	
फ्‍	4	
६	4	
ङ्	3	
्‌	3	
ख्‌	2	
गै	2	
ग्‌	2	
घो	2	
ज़	2	
झि	2	
झे	2	
ध्	2	
न्	2	
ह्‌	2	
अ़‍	1	
घ	1	
घ़	1	
ङो	1	
झु	1	
थ्	1	
निे	1	
य्‌	1	
य्‍	1	
व्‍	1	
सं	1	
८	1	
