cluster	count	casing patterns
ə	88577	
a	76295	
ŋ	57704	
i	57202	
n	54075	
ɨ	43840	only_lower
w	39001	
s	35252	
u	33717	
e	32111	
v	31715	
k	28911	
t	28259	
y	27552	
m	27305	
f	22478	
l	19891	
ꞌ	19617	only_lower
h	18457	
ɔ	17992	
b	17205	
g	14067	
d	7998	
o	7036	
ù	5963	only_lower
z	5847	
j	5507	
ɔ́	5491	only_lower
ɨ́	4941	only_lower
ì	4453	only_lower
ɔ̀	2903	only_lower
à	2864	only_lower
r	2779	
ə̀	1785	only_lower
ɨ̀	1633	only_lower
è	1525	only_lower
p	1060	
ò	401	only_lower
1	2	
3	1	
7	1	
b̰	1	only_lower
ú	1	only_lower
ə́	1	only_lower
