cluster	count	casing patterns
n	309236	
h	263593	
ơ	247252	
i	233609	
a	213024	
k	177939	
g	172208	
l	145623	
m	141621	
t	140149	
ă	136941	
o	119694	
r	115160	
p	109059	
u	97294	
e	91176	
b	90879	
s	80776	
d	62285	
ơ̆	54034	
đ	53760	
ư	51145	
ô	50096	
y	35464	
ĕ	31400	
c	30800	
j	30196	
ê	25248	
ŏ	22922	
w	17264	
â	12742	
ĭ	12072	
ŭ	10678	
ê̆	7110	only_lower
ư̆	5057	only_lower
ô̆	1214	only_lower
1	1069	
2	596	
3	364	
5	297	
4	295	
0	281	
6	199	
9	147	
8	141	
7	128	
v	37	only_lower
â̆	22	only_lower
f	14	
x	3	
