cluster	count	casing patterns
a	92743	
n	62370	
m	52457	
b	48352	
ə	44116	only_lower
t	38097	
à	37636	
ɨ	35764	
ŋ	32460	
s	31678	
y	29114	
i	28120	
o	25551	
w	25426	
ꞌ	25324	only_lower
g	23263	
ɨ̀	22919	
u	22437	
k	21267	
ì	20664	only_lower
ə̀	19709	only_lower
l	19055	
ɛ	14187	only_lower
h	13422	
ù	12306	only_lower
e	11317	
j	10389	
ǹ	9225	
r	8831	
ɔ	8474	only_lower
â	7182	
ɨ̂	7031	only_lower
ɔ̀	6376	only_lower
ò	6331	
f	6076	
î	5772	
d	5136	
ŋ̀	4802	
ɛ̀	4706	
û	4622	only_lower
ə̂	4367	only_lower
m̀	3915	
z	3512	
ǎ	1971	only_lower
è	1561	only_lower
ǐ	1507	only_lower
ǒ	1271	only_lower
p	1248	
ǔ	1183	only_lower
ô	1077	only_lower
ê	776	only_lower
ɨ̌	616	only_lower
1	406	
c	350	
ɛ̂	332	only_lower
ɔ̂	315	only_lower
ə̌	305	only_lower
2	205	
v	176	only_lower
ɔ̌	169	only_lower
3	129	
4	112	
5	89	
ɛ̌	77	only_lower
0	75	
x	69	only_lower
6	66	
8	53	
7	47	
9	44	
ě	21	only_lower
q	7	only_lower
