cluster	count
a	86978
n	54463
m	47970
b	44114
ə	41962
t	34845
ɨ	33795
à	33004
ŋ	30322
s	29525
i	26715
y	25091
o	23959
w	23768
g	21955
u	21512
ɨ̀	21390
ì	19615
ə̀	18742
k	18738
l	17054
ɛ	13606
h	12847
ù	11822
e	10627
j	9440
r	8197
ɔ	8127
ǹ	7450
â	6888
ɨ̂	6458
ɔ̀	6110
ò	5935
f	5588
î	5463
d	4687
ɛ̀	4528
û	4310
ə̂	4156
ŋ̀	3878
z	3262
m̀	2868
ǎ	1632
è	1439
ǐ	1339
ǒ	1154
ô	1042
ǔ	1037
ê	704
ɨ̌	514
p	410
ɛ̂	318
ɔ̂	296
c	292
ə̌	275
v	164
ɔ̌	156
ɛ̌	70
x	51
ˈ	49
ě	18
0	7
q	6
à̀	4
t̀	4
4	3
1	2
6	2
î̀	2
l̀	2
2	1
j̀	1
r̀	1
s̀	1
ù̀	1
ǚ	1
ǔ̈	1
ŋ̂	1
ŋ̌	1
ɨ̌̀	1
ʉ̀	1
	1
