cluster	count	casing patterns
न	38063	
र	37545	
उ	21609	
ह	20013	
के	19602	
य	17510	
इ	17364	
हीं	16086	
म	16077	
अ	15968	
त	15483	
क	14569	
मा	14296	
प	13855	
स	13222	
ब	12640	
आ	11722	
का	10902	
ज	8616	
से	7775	
कि	7774	
बा	6693	
ल	6567	
हि	5515	
ग	5445	
सु	5239	
ति	4992	
पं	4982	
हे	4881	
ए	4854	
रे	4450	
चे	4367	
ना	4070	
ने	3961	
बि	3949	
रा	3875	
च	3831	
ई	3642	
सा	3484	
या	3467	
ले	3364	
हा	3341	
हँ	3193	
ला	3061	
व	3039	
जा	2953	
दे	2916	
ही	2892	
खा	2852	
यी	2802	
न्	2741	
ऊँ	2715	
नि	2580	
रि	2463	
द	2427	
ख	2352	
प्	2253	
ता	2229	
खे	2228	
तों	2164	
हो	2138	
सी	2082	
दि	2000	
ईं	1993	
त्	1982	
ऊ	1966	
दा	1915	
री	1884	
ओ	1816	
तूँ	1750	
पा	1731	
स्	1639	
हें	1600	
ध	1552	
थ	1520	
चा	1440	
ती	1412	
कु	1382	
मे	1380	
लि	1362	
रँ	1319	
खु	1308	
घ	1307	
मँ	1276	
ली	1213	
गें	1101	
दु	1095	
को	1021	
लो	1013	
मि	1007	
भ	1003	
हाँ	1003	
नी	1001	
क्	921	
ठे	905	
ड़ि	897	
जि	888	
दी	888	
जे	874	
ते	862	
ट	857	
द्	849	
भा	846	
मु	838	
रू	829	
घे	821	
सि	802	
हू	794	
गे	780	
गा	746	
दें	736	
पि	735	
फ	733	
भू	729	
छ	724	
ठ	722	
ड़	682	
खि	636	
रो	636	
च्	626	
धा	607	
जी	598	
पु	582	
चि	557	
बु	552	
हूँ	529	
ठा	527	
बी	513	
आँ	511	
लु	504	
वा	503	
पू	495	
बो	493	
ड़ा	489	
दू	486	
मू	479	
हों	467	
बे	456	
सं	440	
की	436	
ड	436	
म्	425	
तु	424	
धि	394	
पी	384	
दो	371	
ड़े	369	
छा	359	
डा	359	
हिं	347	
ब्	342	
गि	339	
ढ़	336	
हु	334	
सो	333	
अँ	332	
जाँ	330	
उँ	323	
ह्	320	
छू	315	
ल्	315	
गु	311	
भी	304	
यू	301	
चु	296	
ट्	295	
टि	288	
सँ	288	
छों	283	
खी	280	
ची	277	
नँ	277	
रु	277	
मी	263	
धी	255	
तँ	248	
था	240	
एँ	233	
गी	232	
घा	232	
डे	229	
लँ	220	
ठी	211	
बू	207	
र्	200	
हुँ	198	
छि	197	
तो	197	
ढ़ा	195	
ड़ी	191	
छो	190	
झ	185	
गो	183	
फि	183	
छे	182	
टी	180	
पूँ	178	
थि	173	
टा	164	
भें	162	
भि	160	
अं	156	
खाँ	155	
जो	152	
यु	149	
खँ	146	
ठि	146	
गाँ	145	
फा	145	
लें	143	
ढ़ि	138	
ग्	137	
यो	136	
व्	130	
गै	124	
मो	124	
झा	120	
खो	114	
बाँ	113	
मं	113	
जु	108	
कू	106	
भे	106	
मुँ	101	
मौ	98	
गू	96	
बं	94	
खू	91	
थो	90	
धो	90	
टो	85	
थी	84	
कँ	83	
नु	83	
रें	80	
झि	75	
छु	73	
झी	72	
ध्	72	
माँ	72	
भाँ	71	
सिं	69	
पे	66	
य्	66	
मूँ	65	
जँ	63	
ड़ँ	62	
झु	59	
ढूँ	59	
थे	59	
पाँ	59	
जू	58	
फे	58	
बै	57	
कै	56	
भुँ	56	
साँ	56	
सू	56	
ढ़ँ	53	
ख्	52	
दँ	52	
फू	52	
लू	52	
भो	51	
डाँ	49	
ठो	48	
फी	44	
गँ	43	
छँ	43	
ढ़े	43	
फँ	41	
भु	40	
झे	39	
तू	39	
घो	37	
झूँ	37	
तें	37	
चो	36	
जं	36	
टँ	36	
ढ़ी	35	
टु	34	
बँ	34	
मुं	34	
ज्	33	
नो	33	
बें	33	
टे	32	
भूँ	32	
चँ	31	
चुं	31	
चं	30	
झँ	29	
रों	29	
लं	29	
कं	28	
धू	28	
धे	28	
पो	28	
चाँ	27	
फें	27	
कें	25	
ढा	25	
थु	25	
धु	25	
ठँ	24	
1	22	
काँ	22	
गूँ	22	
ड्	22	
लाँ	21	
छी	20	
डो	20	
सै	20	
चू	19	
घु	18	
जै	18	
ठें	18	
फूँ	17	
गीं	16	
धुँ	16	
खीं	15	
घि	14	
ढुँ	14	
थें	14	
सें	14	
घू	13	
चों	13	
डी	13	
दाँ	13	
नू	13	
भ्	13	
यि	13	
रं	13	
सीं	13	
फु	12	
में	12	
राँ	12	
लै	12	
लौ	12	
टू	11	
जों	10	
झो	10	
फ्	10	
वि	10	
डँ	9	
ढों	9	
ताँ	9	
दं	9	
नं	9	
पँ	9	
कुँ	8	
नीं	8	
पों	8	
रीं	8	
3	7	
डि	7	
ढ	7	
ढ़ो	7	
तीं	7	
थूँ	7	
पुँ	7	
2	6	
इँ	6	
छूँ	6	
छें	6	
झाँ	6	
ठं	6	
नै	6	
