cluster	count	casing patterns
a	184849	
e	107872	
i	90716	
o	78249	
r	77481	
u	74584	
n	74148	
g	56814	
t	47038	
d	45647	
m	43972	
b	36141	
v	21676	
s	19017	
k	16635	
h	11382	
f	10703	
á	10127	only_lower
j	9027	
ó	6893	only_lower
ú	5068	only_lower
í	2715	only_lower
y	2563	
l	1719	
1	1402	
p	1138	
2	797	
ĩ	552	only_lower
3	497	
0	482	
4	401	
5	305	
6	279	
7	234	
8	217	
9	172	
é	27	only_lower
ẽ	18	only_lower
w	6	only_lower
c	3	only_lower
ã	2	only_lower
q	1	only_lower
ũ	1	only_lower
x	1	only_lower
