cluster	count	casing patterns
n	74885	
a	73033	
i	70915	
ŋ	67215	
h	53743	
u	43264	
ɔ	37186	
p	34394	
g	33189	
ɨ	27041	only_lower
m	26868	
o	26151	
ʼ	23217	
ɛ	22263	
t	19002	
w	17665	
k	15666	
s	14295	
j	11871	
y	11558	
l	11123	
c	10360	
b	9999	
e	9617	
ə	9443	only_lower
d	9270	
f	8091	
r	7309	
ā	5332	only_lower
v	4496	
ī	3528	only_lower
à	2344	only_lower
ɛ̄	1749	only_lower
ə̄	1393	only_lower
ǹ	1265	
ū	1224	only_lower
ù	1030	only_lower
ǐ	996	only_lower
ō	987	only_lower
ɨ́	931	only_lower
ɨ̄	782	only_lower
ǎ	703	only_lower
ɔ̄	618	only_lower
ǔ	585	only_lower
í	560	only_lower
ì	544	only_lower
ɛ́	497	only_lower
ɨ̀	488	only_lower
ú	414	only_lower
p̂	392	
ò	378	only_lower
á	377	only_lower
m̀	328	
ŋ̀	272	
ɨ̌	219	only_lower
ə́	208	only_lower
ɔ̀	191	only_lower
ó	166	only_lower
ɔ̌	157	only_lower
ɛ̀	156	only_lower
p̈	124	
ä	121	
ē	118	only_lower
ɔ́	99	only_lower
s̈	76	
ɛ̌	68	only_lower
m̈	57	
ɔ̈	49	
é	47	only_lower
ŋ̈	46	
â	39	
ə̀	37	only_lower
ě	29	only_lower
ə̌	26	only_lower
n̈	18	
ŝ	12	
ɔ̂	12	only_lower
ẗ	7	
n̂	6	
k̈	4	
l̈	4	
ŋ̂	4	
6	3	
m̂	3	only_lower
è	2	only_lower
t̂	2	only_upper
g̈	1	only_lower
j̈	1	only_upper
ÿ	1	only_lower
ə̂	1	only_lower
