cluster	count	casing patterns
ས	215081	
ད	160068	
ང	146206	
ག	136729	
ན	127409	
བ	109106	
མ	107874	
ར	85055	
ལ	76678	
པ	64067	
འ	50275	
འི	41429	
དེ	30953	
དུ	30012	
གི	25222	
རྣ	22670	
ཀྱི	22522	
ཡ	21054	
མི	19474	
ཡི	18790	
ཞི	15319	
ཆོ	15003	
ཁོ	14888	
ཁྱོ	14455	
ཅ	14262	
པོ	14218	
ནི	13978	
གྱི	12580	
སུ	12277	
སོ	11635	
ཀོ	11182	
ཅི	10862	
ཡོ	10507	
ཁ	9506	
གོ	9391	
བུ	9327	
ཉི	9099	
ཤི	8767	
ཐ	8392	
ཞེ	8344	
རྒྱ	8118	
བྱ	8081	
ཕྱི	7941	
དི	7684	
འོ	7532	
ཡེ	7430	
མོ	7421	
དོ	7002	
ཝཱེ	6994	
ཨེ	6868	
ཚོ	6857	
ཨ	6593	
མེ	6550	
ཁྱེ	6423	
ཀ	6221	
གྱུ	6125	
ཏེ	6085	
སྟེ	5876	
ལྟ	5712	
ཐོ	5695	
རུ	5606	
ལོ	5585	
ཀྱ	5410	
རེ	5175	
ཚ	4949	
བྱེ	4903	
རི	4881	
སྐ	4759	
ཞ	4714	
རྒྱུ	4541	
ཡུ	4526	
བོ	4489	
ཏུ	4278	
གྲོ	4273	
ལེ	4158	
སེ	4099	
ཞུ	4075	
ཐུ	4027	
ཆེ	4012	
ཆ	3996	
ཤེ	3965	
སྨྲ	3644	
རོ	3629	
ཁྲི	3602	
ལུ	3581	
སྟོ	3522	
ཏ	3423	
དཱ	3342	
ཤུ	3162	
ཏོ	3161	
ཟ	3127	
སྐྱ	3100	
ངོ	3088	
དྲ	3074	
ངེ	3062	
ཉ	3038	
ཕ	2975	
ནོ	2943	
ཛ	2777	
ཡཱ	2706	
ཟི	2701	
ཙ	2657	
ཤ	2547	
ཆུ	2526	
ཅེ	2470	
བྱུ	2409	
ཉེ	2383	
རྗེ	2378	
གུ	2338	
ཅུ	2294	
ཇི	2153	
སྒོ	2136	
སཱ	2068	
ཧ	2027	
གྲ	2002	
ཀུ	1959	
ཙོ	1950	
ཚེ	1929	
སྐྱེ	1917	
པེ	1907	
ཟོ	1886	
སྔ	1859	
བྲ	1828	
ཕོ	1786	
མཱ	1751	
ཧུ	1729	
སྐོ	1727	
སྐྱོ	1687	
ཀྱེ	1668	
ཕྱོ	1663	
ཁྲོ	1659	
ཅོ	1656	
སྐུ	1621	
བི	1614	
དྲུ	1605	
ཕེ	1562	
རྟ	1532	
ནུ	1513	
ཁྱི	1504	
ཕུ	1504	
སི	1463	
སྲི	1393	
ཟུ	1378	
སྡི	1363	
སྡུ	1321	
ཚུ	1319	
སྡོ	1287	
ལྷ	1263	
སྲ	1256	
རྟེ	1251	
རྩི	1192	
སླེ	1174	
སྲོ	1151	
ཤོ	1130	
པཱ	1103	
ལི	1094	
བེ	1075	
ནཱ	1068	
ཛོ	1060	
ཇུ	1053	
ཁུ	1046	
དྲི	1044	
སྲུ	1039	
ལྡ	1028	
གེ	1026	
བླ	1026	
ཟེ	1012	
ཆི	1003	
སྡ	998	
ལྟོ	990	
སྤུ	954	
ནེ	949	
ཨི	944	
ཐེ	937	
ངུ	926	
སྤྱ	920	
པུ	909	
ཟླ	889	
སྒྲུ	888	
སྤྱོ	888	
ཕྲ	882	
ཚི	880	
1	877	
གྲུ	865	
ཕྱ	863	
མུ	821	
རཱ	820	
ཕཱ	816	
རྩ	814	
སྔོ	796	
སྟ	788	
སྒྲ	777	
བྱི	776	
སླ	764	
ཨོ	759	
ཁྲུ	757	
ཕྲི	721	
རྡོ	719	
བློ	718	
རླ	717	
ཁྲ	716	
ཇ	716	
ཧོ	709	
ཀི	704	
ཞོ	694	
སྲེ	689	
བྲུ	683	
ལྔ	677	
སྒྲོ	670	
ཕྲུ	665	
ཧེ	660	
རྒོ	648	
ཁྱ	647	
གྱོ	641	
སྤྲོ	635	
སྣ	623	
སྒ	617	
གྲི	615	
ཛི	600	
རྗོ	596	
རྐྱེ	590	
སྐྱུ	588	
ཕྱུ	585	
རྒུ	582	
རྟོ	575	
སྙི	575	
ལཱ	568	
སྒྱུ	563	
ཀེ	561	
སྦྱི	558	
གླ	532	
