cluster	count
a	399198
e	254576
n	231448
y	149797
g	137843
o	137575
w	133019
m	128147
ɛ	119160
t	110689
r	102091
i	97324
s	96291
b	91107
k	90896
h	67974
d	66945
ɔ	66478
l	47909
u	47042
p	31045
v	30552
ê	20245
j	15743
é	15489
â	13894
à	11203
ɛ̀	10048
è	8612
ɛ́	7659
á	7135
c	7060
z	6620
f	6457
ô	5407
ɔ̀	5046
ɔ̂	4422
ɛ̂	4131
ō	2780
ē	2381
î	2295
ó	2079
ɛ̌	2062
ā	1995
û	1682
ɔ́	1494
0	1333
ě	888
ɛ̄	785
ǎ	544
ù	454
ī	430
ú	323
2	321
1	290
ɔ̌	271
ò	223
í	217
ǐ	212
3	205
5	181
4	174
ǔ	161
ì	125
ɔ̄	125
7	116
6	107
8	69
ū	56
9	51
ǒ	45
