cluster	count
n	72967
a	72414
e	52767
o	42508
i	38731
á	32472
l	30409
í	28414
b	27608
w	27592
m	25664
ì	22453
à	21811
y	20227
h	19069
u	18425
ɓ	17932
k	17430
ó	15737
r	15569
é	15514
s	13881
ú	13572
t	9202
d	8262
ɛ	7754
è	7506
z	7172
ĩ	7137
p	6370
ṹ	5286
ù	5219
ɲ	4640
ò	4474
f	4182
ɛ́	4038
v	3823
ã	3795
c	3691
ɔ	3596
ĩ́	3419
ũ	3273
ã́	2926
ń	1878
ɛ̀	1857
ã̀	1575
ĩ̀	1350
ɔ̃́	1238
ɔ̃	1067
ǹ	809
ũ̀	564
ɔ́	526
ɔ̃̀	280
ɛ̃́	185
ɔ̀	183
1	108
ɛ̃	44
2	39
3	35
4	25
6	21
5	18
0	12
7	10
8	10
9	9
ɛ̃̀	1
