cluster	count	casing patterns
ង	19369	
ម	15785	
ឡើ	15261	
ន	14339	
គ់	14288	
ត	13284	
ក	12996	
ន់	12324	
វ	11036	
យ	10761	
រ	10481	
ដើ	8775	
ច	8220	
គ្	7661	
អ	7508	
អ៊ែ	7448	
រែ	7415	
ក់	7237	
ម៉ើ	7215	
ដៃ	7091	
មែ	6603	
ណ	6581	
យ៉ា	5824	
គ	5302	
ព	5093	
ប	5018	
ប្	4689	
ណា	4467	
ប៉ា	4339	
ម៉ា	4153	
ហ	4091	
កា	3962	
ត្	3731	
រា	3690	
រៀ	3369	
នែ	3301	
តៃ	3296	
ចា	3208	
ង់	3185	
ទឹ	3049	
បើ	3001	
ប៊ឹ	2945	
ង៉ា	2890	
ឡា	2788	
អៃ	2671	
ហា	2593	
លំ	2574	
ហឹ	2477	
យែ	2442	
វែ	2407	
ប៊ិ	2335	
ស៊ូ	2282	
ដ	2246	
អាំ	2211	
ត់	2167	
អំ	2152	
លែ	2126	
ក្	2120	
ល	2120	
អ៊ឺ	1923	
សា	1897	
រ៉ា	1884	
ប់	1815	
ៗ	1803	
ដា	1770	
តា	1762	
វ៉ើ	1586	
តើ	1584	
បូ	1575	
ស	1567	
ដ្	1457	
នឹះ	1452	
ញ៉	1407	
ព្	1405	
ហៃ	1385	
ញ	1375	
ស្	1349	
ហំ	1310	
អា	1304	
គូ	1297	
មូ	1240	
កួ	1236	
រិះ	1220	
ញ៉ា	1202	
ប៊្	1185	
រី	1178	
ណោះ	1168	
ទឺ	1143	
អើ	1127	
រូ	1124	
មួ	1110	
រុ	1067	
ទុ	1033	
លី	1008	
ទ្	1006	
ឞា	995	
មឹ	958	
គែ	937	
សុ	927	
ដូ	920	
ជុ	879	
យូ	874	
ឡ	825	
ជែ	814	
ប៉្	814	
ឡឹ	812	
និះ	804	
ពែ	799	
ប៊ឹះ	754	
តូ	749	
បា	731	
ញ៉ើ	714	
ប៉ូ	709	
ឌី	706	
រៃ	691	
យ៉ូ	690	
ឆ	682	
ហៀ	659	
រំ	656	
ដិ	641	
ស៊ី	637	
ខា	636	
ទិះ	635	
ឝ៉ា	635	
ឝ្	632	
ង៉ៃ	629	
ទិ	627	
ណើ	609	
ម៉	609	
ស៊ិ	591	
ស៊ែ	588	
បឹ	583	
ម៉ូ	575	
ឌូ	568	
ច្	549	
រុះ	537	
ឋិ	535	
ឡឹះ	528	
ឡូ	518	
ដុ	515	
លាំ	503	
លើ	501	
ឌិ	499	
ញិ	495	
ដាំ	488	
អ៊ី	486	
ទី	477	
ញឹះ	475	
ហ្	475	
ល់	472	
លុ	470	
វ៉ា	461	
ខ	458	
ជឹ	452	
ឞ	448	
ផ	438	
ប៊ែ	432	
អ្	419	
រ៉ូ	417	
ឌឹ	414	
ងុ	412	
ប៉	412	
ង៉ើ	404	
លៀ	391	
សំ	390	
វ៉ិះ	384	
លឺ	382	
កុ	379	
ពឹ	367	
អ៊ិ	354	
ណាំ	352	
១	351	
ឈូ	347	
តៀ	343	
មាំ	342	
ចាំ	341	
មិ	341	
រឹ	339	
ឆា	332	
ឃឹ	325	
រួ	324	
ណិះ	320	
កើ	319	
វីះ	319	
ខៀ	311	
ចូ	304	
ឞ៊ុ	301	
នឺ	300	
បះ	297	
សូ	296	
ញឹ	291	
ជឺ	284	
ឡះ	282	
អោះ	282	
ងឺ	280	
នួ	276	
ជិ	275	
ហ៊ែ	275	
ឆ្	273	
ឝ៉ើ	271	
លា	268	
តឹះ	266	
ធុ	265	
អិះ	256	
មឺ	248	
នៀ	244	
ផា	244	
ពឺ	242	
លះ	242	
រិ	237	
អូ	234	
ឋើ	233	
នុ	229	
ចៀ	227	
យ៉ះ	227	
ហាំ	224	
ដៀ	223	
ណូ	222	
ស៊្	221	
ទឺះ	218	
នុំ	216	
ឝ៉្	210	
ដឹ	209	
ថា	209	
វឹ	208	
ថូ	203	
ម៉ិ	203	
ហូ	202	
ញឺះ	198	
ឆិ	196	
នឹ	196	
រ៉ាះ	195	
២	192	
ឋា	191	
យ៉	188	
ឈឹ	187	
ឌែ	185	
ក៝	184	
ចិះ	183	
ថួ	183	
ងំ	182	
លិ	174	
រ៊ុ	172	
កំ	169	
ឃូ	169	
ប៉ិ	168	
នូ	167	
យ៉ិ	167	
និ	166	
ពួ	164	
ខើ	163	
អៀ	162	
យ៉ឹ	161	
ឡិ	158	
កី	155	
រ៉ើះ	154	
ភែ	150	
យឺ	148	
សើ	146	
ធែ	145	
ញឺ	144	
ប៊ុះ	141	
ឈិ	139	
ញែ	139	
អ៊ូ	139	
លួ	138	
ឆុ	136	
វី	136	
ឃុ	134	
ខំ	131	
ទែ	130	
ឃឺ	129	
ទូ	128	
ប៉ឹះ	128	
រាំ	127	
ម៉ោះ	126	
មិះ	123	
មុ	123	
ឡាំ	123	
នី	121	
ឌ្	120	
កូ	119	
ឋូ	118	
ឞ្	118	
ម៉ៃ	117	
រ់	116	
លីះ	116	
ឈ្	115	
តំ	115	
ស៊ុំ	114	
មី	113	
លូ	113	
ញំ	112	
ឌុ	111	
ម៉ឹះ	111	
វាំ	110	
ពាំ	109	
អឹ	108	
ឝ៉ូ	106	
ភី	105	
រ៉	105	
លិះ	104	
អុះ	104	
ប៊ី	103	
៣	103	
៤	102	
ណៃ	99	
ឞិ	97	
ដឹះ	96	
ថាំ	93	
ឝ	93	
