cluster	count	casing patterns
a	382134	
n	329163	
i	224902	
c	222070	
t	212823	
h	185155	
q	164836	
g	127553	
p	112551	
o	110238	
m	107885	
r	101302	
u	99948	
s	99462	
l	98129	
á	95179	
â	64030	
ớ	61990	
ỡ	57337	
y	56159	
ễ	43331	
ứ	42367	only_lower
b	40310	
k	39604	
ũ	38768	
ỗ	37327	
d	34482	
ữ	32572	
ĩ	32326	
e	29659	
ê	22721	
ơ	19558	
ố	18798	
ô	15949	
ó	13569	
í	13514	only_lower
ŏ́	13041	
v	12272	
ŏ	10414	
ế	7664	only_lower
ú	4534	only_lower
ư	3929	only_lower
é	3542	only_lower
0	922	
2	238	
1	173	
5	168	
4	134	
3	123	
6	121	
7	97	
8	68	
9	31	
w	3	
z	1	only_upper
