cluster	count	casing patterns
n	75279	
b	67030	
é	63326	
e	59286	
m	50539	
á	50186	
d	48692	
a	46043	
ɛ	32281	
y	25376	
l	24792	
ɛ́	20481	only_lower
s	19890	
k	18042	
t	17536	
h	17151	
g	16836	
w	16609	
ŋ	14625	only_lower
ɔ́	14595	only_lower
o	13012	
ʼ	9452	
p	8926	
í	8692	only_lower
c	8124	
ó	7797	
i	7651	
u	7004	
ē	6803	only_lower
ɔ	6455	only_lower
ê	6336	
ǒ	5194	only_lower
ə	5169	only_lower
ə́	4980	only_lower
â	4634	
ě	4253	only_lower
ḿ	4200	
ə̄	4021	only_lower
ú	3903	only_lower
ɛ̄	3337	only_lower
r	3105	
ɛ̂	2506	only_lower
z	2446	
ǎ	2026	
ń	1973	
ɛ̌	1887	only_lower
ā	1805	only_lower
ī	1744	only_lower
ǐ	1616	only_lower
ō	1598	only_lower
ɔ̄	1471	only_lower
ə̌	1139	only_lower
j	878	
ô	826	only_lower
ə̂	740	only_lower
î	614	only_lower
ū	581	only_lower
f	356	
û	284	only_lower
ǔ	278	only_lower
ɔ̂	157	only_lower
ɔ̌	145	only_lower
v	56	only_lower
1	6	
2	3	
3	3	
5	3	
4	2	
7	2	
0	1	
8	1	
