cluster	count	casing patterns
n	72543	
ɛ́	58465	
i	45834	
ɛ	41318	
h	37031	
l	35671	
e	34131	
k	28568	
í	28459	
ɛ̀	26455	
a	25718	
ɓ	25211	
à	22946	
b	22826	
m	21218	
d	20462	
á	19913	
w	16997	
ɔ	16679	only_lower
ɔ̀	16225	only_lower
o	16089	
ì	16041	only_lower
ɔ́	15602	only_lower
u	15338	
r	14940	
p	14087	
s	13947	
è	13031	only_lower
y	12726	
ò	12140	only_lower
z	11318	
é	10979	only_lower
t	10035	
ũ	8057	
ù	7520	only_lower
ú	7223	only_lower
ĩ	7095	only_lower
f	7007	
v	6495	
ǹ	6461	
ó	5742	only_lower
ɲ	5520	
ń	5270	
ṹ	3953	only_lower
ɛ̃	3574	only_lower
c	3345	
ɛ̃̀	2897	only_lower
ĩ́	2874	only_lower
ã	1676	
ɛ̃́	1604	only_lower
ĩ̀	1460	only_lower
ũ̀	735	only_lower
ã̀	642	only_lower
ã́	239	only_lower
0	200	
ɔ̃́	144	only_lower
1	76	
2	39	
4	36	
ɔ̃̀	27	only_lower
3	21	
5	20	
6	16	
7	13	
9	11	
8	7	
ɔ̃	2	only_lower
