cluster	count
e	77626
k	76024
a	67182
ꞌ	60639
t	58212
i	55360
s	47281
ö	42742
a̱	32466
w	26663
ë	26127
l	25847
r	24304
u	22417
p	18368
e̱	16006
b	15044
n	14752
d	14375
m	12627
y	12381
o	11268
i̱	10602
h	10275
é	9119
c	8418
ë̀	5692
è	5356
é̱	4499
u̱	4132
ú	3754
ñ	3391
ì	2904
à	2835
o̱	2564
ö̀	2247
á̱	2177
j	1823
í	1661
ö́	1340
á	1262
ë́	870
í̱	694
è̱	504
ú̱	384
g	320
ó	276
f	249
ù̱	216
v	214
0	210
ì̱	196
ò	164
1	130
z	117
ù	113
2	88
q	87
4	63
à̱	41
3	36
5	36
6	32
7	28
8	21
x	20
9	19
ó̱	3
