cluster	count	casing patterns
า	178198	
ง	96973	
อ	73907	
น	51180	
แ	49684	
เ	38393	
ย	27751	
ว	23825	
ก	21300	
ม	18008	
ล่	12204	
ม้	11650	
ย่	11554	
โ	11541	
พ	11430	
จ	11000	
บ	10022	
ย้	9999	
ชี	8757	
นี้	8270	
ฮ้	8024	
อื	7951	
ค	7347	
ล	7075	
บ่	6784	
ปี่	6656	
ชฺ้	6650	
ป	6206	
ร	5890	
ฮ	5281	
ม่	5043	
ล้	4874	
ด	4762	
จี่	4746	
ะ	4523	
ไ	4357	
ต	4033	
ซู	3974	
จ้	3870	
คู	3723	
ค่	3677	
ส	3545	
อ่	3412	
ต่	3145	
ลิ่	2930	
จ่	2637	
ทื่	2507	
ก้	2475	
มื	2252	
นื	2227	
มู	2209	
ก่	2202	
งู	2161	
ชี่	2121	
ว่	1862	
ฮู	1714	
มิ	1694	
บ้	1688	
ริ	1599	
น้	1519	
ช่	1430	
ซ่	1408	
ซ	1407	
วี	1379	
ซฺ้	1309	
ท่	1305	
ญ	1240	
ซ้	1238	
ต้	1235	
ดื้	1194	
ลื	1159	
อู่	1131	
กู	1102	
ป่	1066	
อ้	1051	
พ่	1037	
ท	953	
นู้	944	
ษ	891	
ง่	883	
ซื้	878	
ยู้	873	
ซี	843	
ปี	817	
ฮื่	789	
ต์	784	
ย์	767	
ซฺี้	750	
ด่	723	
ป้	695	
ญ่	692	
ตี	686	
ยิ	676	
น่	673	
ศิ	657	
จฺ่	644	
ช	608	
ค้	576	
มู่	569	
ซฺื่	565	
วิ	547	
กิ่	544	
ที่	524	
ซฺิ่	516	
ช้	513	
ซื่	502	
ตู	494	
ลี้	490	
ห์	428	
ฟ	419	
ซฺ่	403	
ง้	385	
ฮ่	356	
อั	354	
2	349	
ท้	349	
ร์	348	
ลิ	343	
จิ้	331	
ศ	331	
ปู	322	
ถ์	319	
คู่	317	
ซี่	316	
ตื่	311	
รี	306	
0	301	
พ้	294	
ธี	286	
ลู่	286	
ลู้	285	
ฮู่	281	
กิ้	276	
ลี	272	
ซฺ	259	
ข	253	
บี่	249	
ซี้	243	
อี	241	
คั	240	
ปู่	237	
วี่	233	
บู้	231	
ว้	225	
ธิ	224	
ปิ	224	
ภี	223	
รู	220	
หิ	218	
ปุ	217	
1	215	
ชู	214	
ทิ	213	
ตู่	211	
ฐ	209	
คิ	208	
ล็	206	
ยู่	200	
พิ	198	
บั	196	
ธ	195	
ญ้	192	
อิ	187	
ผู้	185	
3	174	
ยู	165	
นื้	163	
จู	160	
ฮั	158	
สี	157	
บื้	150	
กิ	145	
พี่	145	
คื่	142	
ทื้	137	
ด้	135	
ชฺ่	131	
ซฺี่	131	
ติ	128	
คี่	126	
มื้	125	
ตี่	122	
7	121	
งู่	120	
ซื	120	
ดี	117	
อี่	117	
ตื	115	
อู้	114	
4	113	
ฟี	102	
วื้	100	
มั	99	
ปิ่	98	
ลื้	98	
