cluster	count	casing patterns
a	430506	
i	250492	
u	186913	
k	158362	
h	139261	
n	138154	
e	131926	
s	124929	
b	113855	
t	112396	
m	88830	
ã	65338	only_lower
ũ	61232	
w	60745	
ĩ	57694	only_lower
r	54289	
ẽ	46423	
y	35150	
p	31425	
x	28721	
d	27977	
o	14574	
j	7289	
l	7174	
c	3533	
é	2592	
v	1752	
g	1410	
f	1277	
q	1175	
0	1114	
z	984	
á	977	
ó	969	
õ	900	only_lower
1	459	
í	449	
ô	337	only_lower
2	288	
7	212	
3	197	
4	188	
ú	168	only_lower
5	143	
6	76	
9	59	
8	54	
ê	42	
â	23	only_lower
ç	13	only_lower
ü	8	only_lower
