cluster	count	casing patterns
a	124885	
i	120216	
h	114577	
n	99663	
t	86266	
j	82587	
e	57797	
c	51457	
d	50123	
á	49788	
p	46929	
b	43922	
o	43696	
w	43172	
ʉ	40384	
í	36841	
ã	34078	
m	27858	
ĩ	23729	
é	22341	
ʉ́	19767	
y	16478	
s	16424	
ó	12252	
ñ	7301	
u	6597	
r	4310	
l	4015	
ʉ̃	3962	
g	3854	
ú	3746	only_lower
q	3492	
ã́	3207	
ĩ́	2206	
ẽ	1936	only_lower
f	442	
v	319	only_lower
z	310	
1	305	
2	180	
3	125	
5	97	
ẽ́	94	only_lower
õ	94	only_lower
4	86	
6	73	
7	72	
0	67	
8	61	
9	57	
x	29	only_lower
ṍ	7	only_lower
k	5	only_lower
ʉ̃́	5	only_lower
