cluster	count	casing patterns
a	131643	
ꞌ	106550	only_lower
e	89418	
n	86731	
j	86089	
i	80945	
ˋ	76981	
g	62976	
ɨ	61629	only_lower
u	48653	
s	48352	
l	47083	
o̱	46057	
d	44851	
c	41975	
ˉ	40820	
ˊ	33802	
m	28836	
á	25087	only_lower
é	24606	
o	22363	
f	21705	
r	20191	
í	20021	
i̱	18313	
q	15688	
ɨ́	15635	only_lower
b	15219	
t	14765	
ˆ	14076	
ñ	13884	
ú	10148	only_lower
ˇ	7460	
ʉ	6900	only_lower
ø	6510	only_lower
ó	6149	only_lower
ʉ́	5902	only_lower
ó̱	5821	only_lower
ǿ	3448	only_lower
í̱	3192	
ü	2725	only_lower
u̱	1690	
y	1628	
e̱	1444	only_lower
h	1239	
p	1102	
ú̱	781	only_lower
á̱	362	only_lower
é̱	362	
a̱	262	
ʉ̱	260	only_lower
ɨ̱	245	only_lower
z	181	
ɨ̱́	179	only_lower
v	145	only_lower
ʉ̱́	113	only_lower
x	20	only_lower
k	11	only_lower
