cluster	count	casing patterns
य	11853	
इ	8848	
र	8558	
म	8018	
ङ	7835	
का	7322	
या	7298	
को	6920	
उ	6595	
ओ	6290	
ल	6183	
स	5565	
स्‍	5378	
ह्‍	5246	
सा	5069	
त	5005	
हा	4901	
ति	4896	
मा	4486	
नि	4464	
ना	4416	
ता	3772	
न्‍	3545	
न	3439	
तो	3182	
वा	3028	
ला	3018	
जा	2627	
ङ्‍	2625	
खे	2597	
सु	2582	
प	2566	
ले	2501	
दा	2487	
क	2405	
अ	2281	
ङा	2193	
रा	2181	
आ	2084	
ब	2031	
ये	1833	
व	1803	
कु	1669	
मु	1649	
क्‍	1647	
ह	1598	
पा	1597	
यो	1389	
ध	1287	
ल्‍	1268	
ते	1262	
य्‌	1218	
रु	1215	
सि	1211	
बि	1116	
मे	1067	
ङो	1025	
म्‍	1008	
रि	992	
ग	948	
र्‌	918	
बा	906	
दि	900	
चा	847	
च्‍	838	
ङ्‌	808	
खा	758	
त्‍	752	
लि	752	
यु	738	
ज	725	
जु	719	
त्	699	
प्	689	
वो	684	
दो	672	
लो	667	
द	641	
हि	592	
हु	592	
गि	589	
ख	587	
कि	571	
द्‍	571	
ए	543	
ग्‍	541	
नाः	528	
मो	510	
मि	477	
झ्‍	458	
पे	451	
ज्‍	447	
रो	438	
दु	432	
नु	432	
गा	424	
थ	412	
हो	407	
क्	384	
न्‌	384	
रे	371	
चिः	358	
चो	350	
भु	347	
ने	344	
था	343	
बे	331	
चे	328	
य्‍	315	
प्‍	304	
फे	303	
हे	302	
चि	286	
के	282	
चोः	281	
गु	276	
छ्‍	273	
नो	265	
से	258	
पु	254	
च	246	
जेः	229	
दोः	227	
फ	222	
पो	213	
भ	208	
भा	208	
धा	204	
तु	201	
गो	197	
नोः	190	
दे	175	
ख्	173	
ध्‍	172	
थि	166	
लु	164	
ह्	161	
तिः	159	
थो	152	
ल्‌	149	
धि	147	
छि	146	
छे	145	
झ	145	
ख्‍	142	
आः	136	
ब्	126	
चु	125	
जो	122	
भि	121	
लेः	116	
थे	112	
जि	110	
फाः	110	
ङाः	107	
धो	107	
न्‍‍‍	107	
क्‌	101	
बोः	97	
स्	97	
जिः	93	
ह्‌	91	
पि	90	
युः	89	
जे	86	
ग्	84	
म्	84	
ङु	83	
न्	80	
ङे	77	
झा	77	
याः	77	
फि	75	
झे	70	
द्	69	
म्‌	68	
भो	66	
खि	63	
ब्‍	59	
सो	59	
फा	55	
योः	55	
छु	45	
पुः	43	
बु	42	
घ	41	
घा	40	
एः	36	
हेः	35	
खो	33	
लाः	33	
फो	32	
भ्‍	32	
वे	31	
वेः	31	
भे	30	
रुः	30	
छ	29	
पाः	29	
साः	28	
न्‍‍‍‍	27	
माः	26	
ल्	24	
वु	24	
कुः	23	
वाः	23	
गे	22	
काः	21	
छा	21	
विः	21	
थ्‍	17	
ङि	16	
ताः	15	
बो	15	
गोः	14	
राः	14	
खुः	13	
धु	13	
स्‌	13	
स्‍‍	13	
खु	12	
तुः	12	
र्‍	12	
वि	12	
घिः	11	
६	11	
घो	10	
हाः	10	
झो	9	
चुः	8	
भ्‍‍‍	8	
मेः	8	
१	8	
घ्	7	
दिः	7	
निः	7	
मः	7	
ङ्‍‍‍‍	6	
धे	6	
भ्	6	
रः	6	
लिः	6	
२	6	
३	6	
गुः	5	
द्‌	5	
प्‌	5	
भ्‍‍	5	
५	5	
गाः	4	
घु	4	
घे	4	
छेः	4	
थु	4	
पेः	4	
फुः	4	
रोः	4	
लोः	4	
घ्‍	3	
छो	3	
जुः	3	
त्‌	3	
नेः	3	
फ्	3	
०	3	
ङोः	2	
तोः	2	
थ्‍‍‍‍	2	
दाः	2	
पोः	2	
फु	2	
ब्‌	2	
लः	2	
८	2	
अः	1	
उः	1	
कोः	1	
ङ‌	1	
छ्‌	1	
जाः	1	
जोः	1	
झि	1	
थोः	1	
थ्	1	
थ्‍‍‍	1	
धाः	1	
बाः	1	
मोः	1	
यि	1	
येः	1	
लुः	1	
सोः	1	
७	1	
