cluster	count	casing patterns
ơ	106498	
n	85222	
h	59664	
u	57501	
a	54678	
g	54313	
i	52936	
l	43989	
t	35146	
p	34608	
r	34445	
m	31611	
ă	30591	
b	30553	
s	22410	
d	22346	
à	21987	
k	19003	
ơ̆	15726	
y	12338	
ŭ	12124	only_lower
o	11223	only_lower
ư̆	9474	only_lower
ô	8832	
ĭ	8772	
j	7406	
đ	7276	
ũ	6652	only_lower
ò	4445	only_lower
ờ	4378	
ñ	4274	
c̆	4087	
ŏ	3677	only_lower
e	3564	
ì	3287	only_lower
w	3134	
ĕ	2845	only_lower
ã	1956	only_lower
ù	1836	
ê	1523	
ồ	1293	only_lower
ừ	843	only_lower
ư	586	
è	169	only_lower
ề	52	only_lower
ạ	15	only_lower
x	5	only_lower
1	1	
2	1	
