cluster	count	casing patterns
³	146329	
h	143917	
a	91728	
i	91695	
⁴	85386	
²	68812	
á	66139	
j	48092	
ɨ	40627	only_lower
d	39976	
y	35535	
a̱	32081	only_lower
c	31916	
e	27362	
l	25527	
n	25485	
s	25297	
m	23243	
u	21010	
x	19054	
g	18934	
¹	18771	
o	17035	
b	14472	
í	13043	only_lower
é	12481	
ɨ́	11610	only_lower
t	10980	
ú	9587	only_lower
f	7528	
ñ	5917	
r	5639	
ó	5471	only_lower
á̱	4240	only_lower
e̱	4149	only_lower
i̱	4000	
é̱	3240	only_lower
í̱	2691	only_lower
p	2071	
ɨ̱	2058	only_lower
v	2032	
u̱	2006	
ú̱	1657	only_lower
ŋ	1573	
ü	1519	only_lower
ɨ̱́	763	only_lower
z	401	
o̱	260	only_lower
ó̱	260	only_lower
q	98	
k	12	only_lower
0	3	
4	2	
1	1	
