cluster	count	casing patterns
a	220961	
i	101696	
u	78485	
e	73527	
r	65775	
b	56507	
d̶	37892	only_lower
m	36286	
c	29960	
h	28545	
k	27034	
n	25935	
s	25527	
ã	23725	
d	20305	
j	19012	
ʉ	14558	
o	13984	
w	13640	
b̶	13216	
p	12804	
t	9823	
ẽ	5439	
õ	5100	
ʉ̃	4785	
ĩ	3310	only_lower
ꞌ	2347	only_lower
l	2154	
y	2123	only_lower
ú	1142	only_lower
á	1048	
ũ	1017	
1	687	
g	653	
ã́	454	only_lower
í	426	only_lower
0	406	
f	373	
2	357	
é	348	
z	307	
v	239	only_lower
ó	213	only_lower
7	165	
4	161	
3	156	
5	129	
6	110	
ñ	109	only_lower
8	98	
q	85	
9	75	
ʉ́	40	only_lower
x	13	only_lower
ʉ̃́	2	only_lower
