cluster	count	casing patterns
ស	60906	
ន	32779	
រា	24816	
ន់	20996	
ង់	20289	
ម	19762	
ង	18701	
មា	18296	
ពា	14330	
នា	13353	
វ	13024	
ឞ្	11925	
អី	11559	
ញ	11282	
លា	10832	
ត	10246	
ប់	10173	
ឞូ	9066	
រី	9054	
តា	8664	
ខា	8303	
អ៝	8207	
ល	8185	
នៃ	7734	
ជេ	7708	
រ	7583	
យ្	7519	
មៃ	6811	
អ្	6717	
កោ	6627	
ក	6269	
គែ	6194	
គ៝	6148	
យ	6130	
លែៈ	5980	
ទ្	5525	
មោ	5303	
នុ	4828	
ឞើ	4789	
ទើ	4737	
ជា	4544	
ក្	4518	
ត់	4394	
យា	4392	
អោ	4364	
អា	4306	
នើ	4165	
តឹ	3943	
ច	3554	
ផូ	3549	
ម់	3531	
យេ	3349	
អៃ	3323	
កា	3269	
ហា	3236	
ក់	3226	
ឆា	3128	
រែ	3118	
កើ	3103	
ក៝	2995	
ឆូ	2950	
ម៝	2921	
ទឹ	2845	
ងា	2813	
ឞា	2808	
វា	2805	
ទា	2798	
គុ	2722	
តី	2606	
ទូ	2553	
ប	2548	
រ៝	2521	
លើ	2515	
ដ៝	2511	
ហោ	2438	
ពោ	2348	
យើ	2331	
ហ៝	2300	
ឆី	2296	
ឞ៝	2293	
ប៝	2282	
ល់	2280	
វែ	2141	
ដា	2096	
ត៝	2075	
យ៝	1970	
អេ	1897	
ហេ	1775	
រោ	1733	
ច់	1693	
ល៝	1689	
ព្	1688	
ឆ្	1622	
គឹ	1618	
ត្	1604	
អុ	1585	
នោ	1553	
ងើ	1552	
តុ	1550	
ហ្	1543	
រេ	1534	
វេ	1498	
អើ	1383	
ជឹ	1361	
លោ	1334	
ឆៃ	1281	
អែ	1280	
គៃ	1202	
ទី	1161	
ទុ	1139	
តាៈ	1125	
ឆ៝	1109	
ខឹ	1104	
អូ	1067	
ញ់	1064	
ទោ	1061	
វ៝	1053	
នូ	1023	
តើ	953	
វៃ	943	
លៃ	939	
យោ	925	
ទ៝	903	
ឆ៝ៈ	876	
រ់	865	
នែ	853	
បា	818	
តៃ	809	
ដាៈ	791	
បុ	789	
តូ	781	
ច្	768	
ជ៝	745	
ហើ	741	
ឞឹ	712	
លែ	708	
ញា	696	
តោ	688	
ហែ	674	
ចី	667	
ខ្	666	
រូ	624	
ឆែ	616	
ទែ	596	
លឹ	578	
ឆោ	555	
ឆើ	551	
មឹ	546	
ផា	532	
បាៈ	506	
១	504	
ជ្	502	
០	483	
ន៝	480	
ទេ	478	
តេៈ	476	
យុ	472	
តែ	439	
ៗ	438	
មើ	433	
ឆេ	415	
ជី	411	
បៃ	410	
ជៃ	408	
លេ	376	
ឆឹ	369	
ហ៝ៈ	361	
លី	352	
គ្	351	
រ៝ៈ	347	
ពេ	345	
ពែ	342	
ជុ	332	
លុ	324	
ញុ	322	
ហៃ	322	
ង្	321	
ពើ	321	
មី	308	
ញី	303	
នេ	297	
ឞោ	293	
ង៝	290	
ចែ	289	
ដោ	284	
យោៈ	281	
ញេ	278	
២	277	
យៅ	271	
គូ	270	
រើ	267	
ឞែ	260	
មែ	258	
ឞេ	245	
យូ	241	
ច៝	232	
រុ	229	
បេ	221	
មេ	207	
ហី	198	
ផ្	194	
វី	186	
បើ	185	
គា	182	
ឆៅ	179	
ឞាៈ	179	
បែ	171	
មេៈ	169	
រោៈ	166	
គើ	164	
លូ	163	
កេ	161	
ជ៝ៈ	156	
ឞិ	149	
៣	148	
៤	145	
អឹ	144	
ពី	139	
នឹ	138	
នេៈ	137	
ថា	130	
ដី	128	
ប្	126	
តេ	124	
ជេៈ	123	
៥	122	
ខោ	118	
នី	117	
ផី	115	
កុ	112	
ដេៈ	109	
មឺ	109	
កី	105	
ងោ	103	
ខៃ	101	
ក៝ៈ	99	
កែ	98	
លឺ	98	
ចា	97	
លាៈ	97	
ព៝	96	
រឹ	96	
ស‌	95	
ង់‌	94	
ផេ	91	
៦	91	
ជាៈ	89	
ថេ	88	
ពាៈ	87	
មុ	78	
ពូ	75	
ឞុ	74	
បី	67	
តិ	66	
បោ	66	
៧	66	
៩	65	
ខើ	64	
ខ៝	62	
ហូ	61	
ចូ	59	
ហឹ	58	
ឆុ	57	
ចោ	56	
គោ	55	
លៀ	55	
ដុ	53	
លៅ	53	
កោៈ	52	
ដេ	52	
រិ	52	
បឹ	51	
លិ	50	
