cluster	count	casing patterns
³	239986	
²	161955	
a	92897	
e	87376	
i	72304	
n	65895	
u	56432	
j	56199	
ɨ	44739	
s	33290	
c	30174	
l	27723	
r	26698	
m	24393	
d	23760	
o	22673	
q	20356	
t	17855	
¹	16310	
x	12831	
o̱	11898	only_lower
ø	10141	only_lower
é	9730	
ú	7338	only_lower
á	6104	
í	5976	
ñ	5665	
ɨ́	5616	
g	5497	
ǿ	4984	
a̱	4858	only_lower
i̱	4675	
b	4104	
ó	3872	
ʉ	3687	only_lower
ʉ́	3120	only_lower
e̱	3010	
ŋ	2475	
h	2321	
p	1940	
y	1492	
ü	1159	only_lower
ú̱	1114	only_lower
u̱	1074	
ø̱	1058	only_lower
é̱	841	
z	666	
í̱	622	only_lower
ó̱	620	only_lower
ɨ̱	606	
f	330	
ʉ̱	327	only_lower
v	223	only_lower
ʉ̱́	155	only_lower
ɨ̱́	109	only_lower
á̱	47	only_lower
ǿ̱	37	only_lower
k	11	only_lower
