cluster	count	casing patterns
ᐦ	60951	
ᒋ	33369	
ᓂ	31234	
ᐁ	24296	
ᐃ	24054	
ᐊ	23671	
ᒡ	22971	
ᑳ	21528	
ᒌ	21222	
ᔨ	19821	
ᐅ	19632	
ᓐ	18718	
ᑯ	18312	
ᑕ	18019	
ᒫ	17964	
ᑖ	17245	
ᐤ	17088	
ᔅ	16539	
ᑲ	15830	
ᒉ	15253	
ᒥ	14067	
ᒄ	13615	
ᔫ	13299	
ᑦ	13084	
ᐌ	12395	
ᔥ	12072	
ᒃ	11632	
ᑎ	11525	
ᐙ	10595	
ᑌ	10458	
ᔑ	8565	
ᓈ	8252	
ᐸ	8134	
ᒧ	8116	
ᔦ	7678	
ᓯ	6923	
ᐎ	6824	
ᒪ	6765	
ᐐ	6507	
ᑣ	6243	
ᑑ	6241	
ᓇ	6056	
ᐱ	5882	
ᓅ	5749	
ᔮ	5512	
ᐋ	5352	
ᐄ	5224	
ᑐ	5056	
ᐯ	4874	
ᒀ	4659	
ᔐ	4100	
ᓴ	3726	
ᔭ	3501	
ᓰ	2975	
ᒣ	2550	
ᒦ	2419	
ᑴ	2353	
ᓄ	2336	
ᒻ	2286	
ᓀ	2241	
ᐹ	2225	
ᑰ	2151	
ᐺ	2131	
ᓃ	2037	
ᐗ	1870	
ᒨ	1745	
ᓲ	1589	
ᔖ	1580	
ᔓ	1376	
ᐲ	1363	
ᐆ	1359	
ᓱ	1237	
ᑗ	1210	
ᔕ	1056	
ᓪ	949	
ᒑ	942	
ᒎ	922	
ᓵ	876	
ᐴ	864	
ᑫ	858	
ᔔ	845	
᙭	743	
ᐳ	710	
ᓕ	683	
ᔪ	621	
ᓚ	611	
ᑆ	600	
ᑏ	599	
ᕐ	584	
ᔻ	578	
ᒬ	533	
ᔒ	497	
ᑮ	492	
ᕋ	445	
ᑭ	396	
ᒞ	377	
ᑉ	363	
ᓭ	362	
ᕆ	338	
ᑾ	290	
ᕉ	211	
ᔣ	205	
ᒐ	156	
ᕓ	154	
ᓖ	142	
ᕕ	139	
ᒍ	129	
ᕇ	126	
ᕎ	109	
ᕙ	102	
ᔂ	97	
ᕝ	94	
ᓨ	45	
ᒸ	41	
ᓓ	37	
ᓗ	37	
ᕃ	37	
ᓍ	35	
ᕌ	35	
ᕈ	28	
ᕖ	23	
ᕛ	11	
ᐣ	10	
e	8	only_lower
t	8	
ᑶ	8	
n	7	
i	6	only_lower
ᔗ	6	
ᔩ	6	
s	4	only_lower
ᓉ	4	
ᓛ	4	
a	3	only_lower
f	3	only_lower
l	3	only_lower
o	3	only_lower
ᑸ	3	
d	2	only_lower
h	2	only_lower
j	2	only_upper
m	2	only_lower
r	2	only_lower
u	2	only_lower
1	1	
2	1	
3	1	
4	1	
c	1	only_lower
p	1	only_upper
w	1	only_upper
ᓘ	1	
ᔀ	1	
ᕗ	1	
