cluster	count
ᐦ	59701
ᒋ	32621
ᓂ	30572
ᐁ	23807
ᐃ	23511
ᐊ	23209
ᒡ	22526
ᑳ	21117
ᒌ	20818
ᔨ	19402
ᐅ	19157
ᓐ	18385
ᑯ	17876
ᑕ	17645
ᒫ	17564
ᑖ	16911
ᐤ	16783
ᔅ	16214
ᑲ	15542
ᒉ	14905
ᒥ	13828
ᒄ	13348
ᔫ	13002
ᑦ	12813
ᐌ	12109
ᔥ	11804
ᒃ	11374
ᑎ	11286
ᐙ	10423
ᑌ	10253
ᔑ	8410
ᓈ	8103
ᐸ	7977
ᒧ	7925
ᔦ	7537
ᓯ	6759
ᐎ	6648
ᒪ	6571
ᐐ	6390
ᑣ	6144
ᑑ	6037
ᓇ	5913
ᐱ	5763
ᓅ	5606
ᔮ	5400
ᐋ	5261
ᐄ	5097
ᑐ	4991
ᐯ	4800
ᒀ	4594
ᔐ	3941
ᓴ	3663
ᔭ	3424
ᓰ	2916
ᒣ	2509
ᒦ	2370
ᑴ	2324
ᓄ	2295
ᒻ	2225
ᐹ	2195
ᓀ	2182
ᑰ	2101
ᐺ	2084
ᓃ	1996
ᐗ	1836
ᒨ	1712
ᓲ	1560
ᔖ	1553
ᔓ	1346
ᐲ	1342
ᐆ	1327
ᓱ	1223
ᑗ	1162
ᔕ	1031
ᓪ	934
ᒑ	921
ᒎ	903
ᓵ	862
ᐴ	853
ᔔ	840
ᑫ	835
ᐳ	692
ᓕ	679
ᔪ	613
ᓚ	605
ᑆ	596
ᑏ	591
ᕐ	580
ᔻ	566
ᒬ	526
ᔒ	484
ᑮ	481
ᕋ	419
ᑭ	390
ᒞ	369
ᓭ	353
ᑉ	342
ᕆ	338
ᑾ	284
ᕉ	210
ᔣ	202
ᕓ	154
ᒐ	152
ᓖ	139
ᕕ	139
ᒍ	129
ᕇ	126
ᕎ	109
ᕙ	100
ᔂ	97
ᕝ	94
ᓨ	45
ᒸ	40
ᓓ	37
ᓗ	37
ᕃ	36
ᓍ	35
ᕌ	35
ᕈ	28
ᕖ	23
ᕛ	11
ᐣ	10
e	8
ᑶ	8
i	6
ᔗ	6
n	5
t	5
ᔩ	5
s	4
ᓉ	4
ᓛ	4
a	3
f	3
l	3
o	3
ᑸ	3
d	2
h	2
m	2
r	2
u	2
1	1
2	1
3	1
4	1
c	1
ᓘ	1
ᔀ	1
ᕗ	1
