cluster	count	casing patterns
ᐦ	77814	
ᔨ	43140	
ᓂ	39492	
ᒋ	33224	
ᐋ	32096	
ᑎ	31600	
ᒡ	31244	
ᑖ	27579	
ᐤ	24765	
ᐊ	22210	
ᑳ	22034	
ᒥ	21841	
ᔮ	21834	
ᒌ	21034	
ᒫ	20307	
ᐙ	20252	
ᐅ	20086	
ᓐ	17741	
ᑭ	17166	
ᐄ	16838	
ᑯ	16783	
ᒑ	16633	
ᔅ	15991	
ᐱ	15897	
ᒄ	13885	
ᔥ	12698	
ᐎ	10430	
ᑦ	10337	
ᓈ	10328	
ᒃ	10070	
ᐃ	9888	
ᔑ	8635	
ᓯ	7953	
ᒧ	7627	
ᐹ	6681	
ᐐ	6370	
ᑐ	5911	
ᔖ	4705	
ᒀ	4579	
ᑑ	4231	
ᓰ	4177	
ᐧ	3948	
ᓃ	3720	
ᑆ	3017	
ᒻ	2663	
ᓴ	2479	
ᓅ	2165	
ᒦ	1913	
ᒨ	1794	
ᔪ	1659	
ᐆ	1545	
ᑰ	1504	
ᔓ	1497	
ᓵ	1475	
ᐲ	1394	
ᓱ	1228	
ᓲ	923	
ᔒ	865	
ᓪ	771	
᙭	771	
ᔻ	768	
ᒎ	762	
ᐳ	687	
ᓕ	668	
ᑏ	623	
ᐴ	615	
ᑣ	615	
ᕐ	589	
ᔔ	530	
ᒸ	493	
ᓄ	432	
ᕆ	406	
ᑉ	381	
ᕋ	324	
ᔫ	294	
ᒞ	288	
ᔣ	278	
ᕉ	225	
ᕕ	217	
ᐁ	208	
ᒍ	168	
ᓖ	168	
ᕇ	148	
ᔂ	145	
ᒉ	142	
ᒣ	128	
ᑌ	120	
ᕎ	112	
ᓛ	107	
ᕝ	98	
ᓚ	92	
ᕌ	89	
ᕙ	75	
ᐯ	70	
ᓭ	67	
ᓍ	63	
ᓨ	55	
ᕢ	49	
ᑫ	45	
ᑮ	45	
ᓀ	39	
ᕠ	38	
ᔭ	32	
ᕚ	31	
ᕧ	31	
ᕃ	29	
ᓗ	27	
ᕓ	26	
ᕞ	26	
ᑕ	24	
ᕖ	22	
ᕪ	21	
ᕈ	18	
ᓓ	17	
ᕦ	14	
ᓘ	9	
ᕛ	9	
ᑶ	8	
ᔕ	7	
ᒽ	5	
ᔐ	5	
ᔾ	4	
ᕗ	4	
i	2	only_lower
n	2	only_lower
ᐒ	2	
ᐗ	2	
ᔦ	2	
ᔩ	2	
ᕤ	2	
1	1	
2	1	
3	1	
4	1	
e	1	only_lower
k	1	only_lower
s	1	only_lower
w	1	only_lower
ᐸ	1	
ᔀ	1	
