cluster	count	casing patterns
i	118763	
n	114634	
a	99968	
c	87734	
ⁿ	86470	only_lower
u	69216	
y	63417	
e	62222	
d	60988	
ā	48250	
í	45395	
s	37428	
h	37229	
t	36165	
á	35216	
ú	34983	
m	20462	
ū	19275	
é	17709	only_lower
g	17592	
v	16960	
o	15143	
ɛ́	14505	
ī	14284	only_lower
ɛ	12290	only_lower
r	11672	
l	5980	
ē	5411	only_lower
p	4918	
j	4618	
b	1835	
ɛ̄	1436	only_lower
ó	1283	only_lower
f	1000	
ñ	898	only_lower
z	647	
ō	311	only_lower
q	118	
n̄	115	
x	19	only_lower
k	10	only_lower
t́̄	1	only_lower
ü	1	only_lower
