cluster	count	casing patterns
इ	16023	
क	10496	
र	10466	
स	9056	
के	7251	
न	7098	
ल	6594	
उ	6419	
ह	3666	
कु	3597	
हा	3579	
त	3542	
रा	3388	
ला	3093	
ब	3009	
से	2955	
भ	2940	
मा	2765	
रि	2582	
र्‌	2541	
म	2473	
पा	2273	
ने	2200	
बा	2138	
ना	2112	
नु	2091	
यँ	2088	
प	2067	
आ	1940	
स्‍	1776	
सु	1750	
ब्‍	1721	
ति	1635	
बे	1565	
दे	1559	
ते	1554	
मे	1535	
न्‍	1469	
अ	1466	
नि	1448	
का	1401	
ओ	1357	
सा	1347	
पु	1328	
कि	1319	
ता	1306	
ज	1264	
ट	1170	
ये	1138	
जे	1134	
य	1105	
बि	1091	
या	1060	
सि	1056	
ख	1034	
क्‍	1027	
चा	1011	
हि	995	
सो	993	
त्‍	943	
मो	932	
रु	913	
ह्	809	
लि	801	
हे	797	
जा	795	
दि	769	
ए	748	
क्	735	
वा	700	
तो	687	
म्	673	
ले	673	
प्	636	
छु	622	
छा	617	
रे	606	
ख्‍	598	
टि	596	
हिँ	592	
बो	571	
ग	549	
छि	541	
खा	537	
पो	533	
त्	527	
फ्‍	526	
टे	519	
ध	505	
ख्	504	
गु	493	
को	486	
गि	486	
था	477	
जि	469	
ठा	469	
भु	466	
हु	449	
रो	435	
ल्‍	432	
द	430	
फ	429	
न्‌	425	
गा	421	
ङ	415	
ग्‍	408	
दु	400	
व	397	
च	395	
खि	375	
ड	369	
धे	368	
टा	364	
चि	363	
भा	356	
दा	349	
घ	347	
न्	346	
लो	345	
ड्‌	343	
जो	332	
म्‍	332	
चे	322	
डा	319	
बु	313	
नो	296	
मु	270	
घु	263	
थ	263	
स्	262	
प्‍	260	
च्‍	237	
झु	229	
जु	225	
भि	224	
हो	223	
ज्‍	218	
मि	218	
झ	207	
द्‌	207	
घि	202	
ङ्‌	202	
पि	195	
फे	195	
डि	189	
धि	180	
लु	178	
ठि	172	
भे	172	
छे	171	
छ्‌	171	
ट्‌	161	
छ	159	
घा	156	
खो	153	
ठो	149	
यु	141	
थि	131	
डे	123	
खु	122	
यो	117	
ग्	114	
खे	98	
दो	97	
भो	92	
ढि	86	
फु	86	
धु	82	
फि	81	
ढा	80	
डो	78	
चु	76	
टु	68	
तु	65	
आँ	64	
धा	62	
झा	59	
ब्	59	
गो	53	
ठ्‌	51	
झे	50	
थे	50	
ह्‌	50	
झि	49	
टो	49	
ठ	49	
फा	49	
ढो	47	
फो	47	
चो	45	
थो	44	
पे	42	
ङा	37	
धो	37	
थु	35	
डाँ	28	
क्‌	27	
जाँ	27	
ढ	26	
घ्	24	
चाँ	22	
ढ्‌	21	
द्	21	
पाँ	21	
गे	20	
घो	20	
वँ	19	
हुँ	19	
खाँ	18	
ङ्‍	16	
झ्‍	16	
हाँ	16	
ठु	15	
हँ	15	
ङि	12	
ठे	12	
ढु	12	
त्‌	12	
बाँ	12	
फ्	11	
झो	10	
डु	10	
वाँ	10	
ध्‍	9	
स्‌	9	
१	9	
म्‌	7	
साँ	7	
द्‍	6	
५	6	
छ्‍	5	
ड्	5	
थ्	5	
याँ	5	
सं	5	
घे	4	
टाँ	4	
ट्‍	4	
ध्	4	
२	4	
उँ	3	
ङु	3	
छो	3	
ज्‌	3	
झ्	3	
ट्	3	
ठ्	3	
ठ्‍	3	
थ्‍	3	
यि	3	
ल्	3	
३	3	
ज्	2	
ठिँ	2	
ढे	2	
ढ्‍	2	
ध्‌	2	
४	2	
काँ	1	
ग्‌	1	
ङे	1	
च्	1	
झ्‌	1	
ड्‍	1	
र्	1	
०	1	
६	1	
८	1	
