cluster	count	casing patterns
ން	74898	
ގެ	46031	
އި	44358	
އެ	43148	
ކަ	34391	
އް	34260	
ވެ	31346	
އަ	31141	
ށް	26466	
ސް	20481	
މަ	20290	
ކު	19751	
ނު	18143	
ގަ	17823	
ނަ	16083	
ހަ	15566	
ތަ	15519	
ހު	15153	
ނ	14836	
ބަ	14572	
ރު	14345	
ރި	13931	
ވަ	13694	
ރަ	13200	
މީ	13068	
ފަ	12574	
ވާ	11753	
ފާ	11696	
މެ	11097	
ނެ	10579	
ދަ	10300	
ދި	10205	
މު	9836	
ދު	9820	
ރެ	9583	
ތި	9251	
ވި	9186	
މާ	9102	
ތް	9030	
ލާ	8943	
ޅު	8930	
ނާ	8918	
މި	8619	
ދެ	8307	
ޔަ	7302	
ތު	7282	
ލޭ	6990	
އީ	6585	
ހެ	6556	
ފު	6444	
ކޮ	6285	
ރާ	5932	
ނީ	5880	
ބު	5796	
ހި	5716	
އު	5470	
ލު	5455	
ސާ	5406	
ދާ	5111	
އޭ	4884	
ލަ	4721	
ތެ	4515	
ހާ	4472	
ލި	4153	
ޑު	4081	
ނި	3914	
ސަ	3898	
ގޮ	3731	
ވު	3536	
ކީ	3419	
ބާ	3366	
ބި	3260	
ކާ	3065	
އާ	3065	
ޔާ	3041	
ފި	2832	
ކެ	2783	
ޑަ	2696	
ވީ	2574	
ގު	2553	
ލް	2458	
ކި	2430	
ބޭ	2252	
ޖެ	2184	
ޅަ	2082	
ފެ	2074	
ތީ	1904	
ތާ	1830	
ޖަ	1696	
ލެ	1690	
ދޭ	1623	
ށެ	1578	
ރީ	1539	
ގާ	1508	
ވޭ	1499	
ފޮ	1456	
ޙު	1402	
ރޭ	1370	
ޙަ	1280	
ބޮ	1271	
ނޫ	1259	
މް	1256	
ބެ	1253	
ށި	1226	
ޑި	1215	
ނޭ	1212	
ޅާ	1179	
ސީ	1179	
އޮ	1163	
ބީ	1131	
ޅި	1114	
ދީ	1114	
ޢު	1098	
ޕަ	1093	
ސު	1068	
ޗަ	1032	
ޓަ	1024	
ޢަ	997	
ހޭ	982	
ރޫ	944	
އޫ	943	
ޙާ	938	
ށު	914	
މޫ	854	
ށަ	844	
ސި	840	
ގި	831	
ލީ	830	
ހީ	782	
ޅެ	774	
ޝާ	743	
ޗެ	722	
ޔެ	708	
ޏެ	698	
ވޮ	692	
ބް	680	
ގޭ	674	
ލޯ	645	
ޤު	634	
ދޮ	626	
ދޫ	618	
ޚާ	611	
ޢާ	610	
ޔޮ	607	
ޚަ	606	
ޙީ	585	
ޔޫ	566	
ޤަ	561	
ޔޭ	517	
މޭ	507	
ޔު	506	
ޚު	506	
ބޫ	494	
ޒަ	492	
ޖާ	489	
ޝަ	485	
ޓެ	463	
ޅޭ	459	
ޖި	459	
ޒާ	444	
ޞް	444	
ތޯ	432	
ޕާ	413	
ށީ	410	
ޝް	405	
ޚި	399	
ޤޫ	397	
ޒު	396	
މޮ	379	
ށާ	377	
ޕު	372	
ޤީ	372	
ފް	354	
ޓާ	348	
ކޭ	345	
ކޯ	341	
ސޫ	328	
ފޭ	326	
ޑެ	324	
ރޮ	321	
ޢީ	314	
ހޫ	310	
ށޭ	310	
ހޯ	306	
ލޮ	304	
ބޯ	301	
ލޫ	293	
ޤާ	277	
ޑާ	262	
ޖު	259	
ސެ	258	
ޓު	240	
ރޯ	229	
ސޭ	213	
ހޮ	206	
ޞަ	193	
ޠީ	193	
ފޫ	192	
ޙި	192	
ޓި	178	
ޒި	177	
ޓީ	170	
ގީ	168	
ޤް	168	
ނޯ	163	
ތޭ	156	
ތޫ	147	
ޅީ	136	
ފީ	135	
ޛާ	127	
ޢި	123	
ޒީ	118	
ޢޫ	117	
ޝި	116	
ޕި	112	
ގޯ	110	
ޟް	104	
ޗާ	102	
ޞާ	100	
ދޯ	97	
އޯ	93	
ޚީ	92	
ޝު	85	
ކް	75	
ޖޫ	71	
ފޯ	70	
ޕެ	69	
ޝީ	68	
ޣަ	66	
ޗި	65	
ޝޫ	65	
ގޫ	64	
ޑީ	61	
ޓޭ	53	
ޏަ	51	
ރް	49	
ޖީ	46	
ޠު	46	
ސޮ	44	
ޔި	42	
ޙޫ	42	
ޙް	41	
ޑް	35	
ޠޫ	34	
ކޫ	33	
ތޮ	33	
ޤި	33	
ޘީ	32	
1	31	
ޏާ	31	
ޡު	31	
ޕޮ	30	
ޖޯ	30	
ޒެ	29	
ޞޫ	29	
ޘާ	28	
ޠަ	28	
ޙެ	26	
ޘް	24	
2	23	
ގް	23	
ޒް	23	
ޔީ	23	
ދް	22	
ޖޭ	22	
ށޯ	21	
ޞި	21	
ޑޯ	18	
ޘަ	18	
ޔޯ	17	
ޚް	17	
ޣާ	17	
ނޮ	16	
ޘު	16	
0	15	
ޖް	15	
4	14	
ޕީ	14	
ޕް	14	
މޯ	13	
