cluster	count	casing patterns
इ	11078	
क्	9561	
ला	8202	
ल	7866	
र	7256	
न्	6926	
र्	6781	
बा	6209	
क	5829	
स	5253	
रा	4890	
आ	4708	
हि	4605	
मा	4179	
हा	4080	
उ	3814	
स्	3468	
ना	3329	
य	3024	
ओ	2735	
क्‌	2725	
नि	2675	
प	2636	
हिं	2624	
वा	2541	
उँ	2469	
रि	2358	
न	2344	
पा	2342	
ख	2261	
म	2198	
सु	2195	
त	2097	
हे	2087	
ह	1882	
ह्‌	1737	
हु	1686	
सौ	1675	
नु	1660	
ब	1635	
हो	1588	
दे	1584	
भे	1554	
सा	1536	
कु	1529	
ये	1461	
बि	1456	
रै	1447	
का	1422	
अ	1419	
जा	1400	
व	1334	
या	1299	
ति	1297	
ज	1279	
कि	1278	
ल्	1271	
के	1257	
तो	1250	
ने	1227	
ठा	1169	
रो	1144	
टे	1126	
रे	1104	
सि	1104	
से	1092	
जि	1087	
ले	1068	
मे	1058	
टा	1050	
म्‍	1049	
ल्‍	1043	
ता	1022	
म्	1009	
ट्‌	1007	
लु	1006	
ज्	990	
ध	975	
बो	961	
दि	939	
मो	919	
ए	917	
भ	907	
क्‍	878	
बु	868	
रु	793	
हुँ	779	
र्‌	765	
लि	759	
गा	758	
खा	750	
फ्	747	
को	721	
यि	719	
लो	711	
मि	704	
ङ्‌	694	
पो	680	
थ्	670	
चा	633	
मुँ	626	
जे	596	
छि	592	
छु	575	
ग्	547	
बे	522	
प्‍	521	
ट	518	
भु	509	
पु	476	
ङ्	474	
द	470	
दा	463	
गि	445	
जु	433	
छा	427	
न्‍	426	
कै	413	
ग	403	
च	403	
ख्	400	
खि	396	
भा	385	
घ	382	
चि	361	
च्	355	
टि	353	
त्‌	341	
दु	329	
पि	320	
तुँ	317	
चे	316	
फ	292	
सै	290	
त्	288	
ते	278	
थ	271	
मु	270	
प्	259	
ड	256	
झ	252	
था	252	
च्‍	239	
ख्‍	229	
रौ	225	
हाँ	223	
गु	220	
टौ	220	
पे	218	
सो	213	
धा	210	
फे	206	
गो	204	
स्‍	203	
नै	199	
खो	194	
पै	193	
थु	187	
चु	182	
ठि	181	
ध्	174	
है	173	
खु	171	
थि	171	
भो	162	
भि	160	
दो	157	
भें	155	
यो	153	
द्‌	150	
ब्‌	141	
थो	133	
छ	132	
साँ	132	
धि	131	
बाँ	126	
टो	125	
ठ	121	
ठाँ	114	
ब्	114	
नाँ	113	
ग्‍	109	
हँ	109	
न्‌	107	
भ्‍	105	
पैं	103	
मै	99	
तु	98	
जै	96	
ठ्‌	91	
फि	84	
घा	83	
डो	83	
यँ	81	
टु	79	
धे	79	
याँ	78	
आँ	75	
जो	74	
त्‍	72	
छे	70	
ज्‍	70	
ड्‌	69	
फा	69	
फो	68	
चो	67	
खे	65	
गे	65	
घु	63	
ङे	62	
ङ	58	
झा	58	
झ्	58	
थ्‍	58	
बै	58	
ङा	57	
छें	56	
प्‌	55	
कौ	54	
धु	53	
झे	52	
धै	50	
नें	50	
सों	49	
दों	47	
हौ	46	
खै	45	
हें	45	
ङ्‍	44	
थे	44	
छ्‌	43	
डाँ	43	
काँ	42	
लौ	42	
झै	41	
डा	40	
थै	40	
झु	39	
चिं	37	
माँ	37	
नौ	35	
धो	33	
नो	33	
स्‌	33	
ठ्	32	
ठे	31	
फु	30	
छो	29	
लै	29	
औ	28	
गाँ	28	
ट्	28	
ढ	26	
द्‍	26	
ध्‍	26	
ब्‍	26	
झाँ	24	
ट्‍	24	
पाँ	24	
ह्‍	24	
ङु	23	
फिं	23	
दै	22	
ङि	21	
मौ	21	
खाँ	20	
गै	20	
छ्‍	20	
झि	20	
डि	20	
भाँ	20	
घो	19	
तै	19	
घि	17	
छौ	17	
जाँ	17	
झो	17	
ठो	17	
चाँ	16	
बें	16	
यु	16	
ह्	16	
चौ	15	
झौ	15	
में	14	
सौं	13	
चै	12	
झिं	12	
झुँ	12	
म्‌	12	
६	12	
ठ्‍	11	
ढो	11	
ढ्‌	11	
तौ	11	
थ्‌	11	
फ्‍	11	
भिं	11	
भ्	11	
अँ	10	
ङै	10	
झ्‍	10	
डु	10	
ढु	10	
फाँ	10	
फै	9	
बौ	9	
जौ	8	
डे	8	
ल्‌	8	
१	8	
५	8	
घें	7	
घ्	7	
टै	7	
ग्‌	6	
घिं	6	
छ्	6	
झों	6	
ढा	6	
द्	6	
नौं	6	
पौ	6	
ख्‌	5	
घे	5	
घ्‌	5	
ङो	5	
ज्‌	5	
ढि	5	
पों	5	
इँ	4	
खुँ	4	
गिं	4	
ड्‍	4	
ढाँ	4	
धिं	4	
मिं	4	
लाः	4	
सँ	4	
सिं	4	
०	4	
४	4	
क‌	3	
गौ	3	
घुँ	3	
चों	3	
छिं	3	
ठै	3	
डँ	3	
ढों	3	
दाँ	3	
निं	3	
भुँ	3	
यौ	3	
रौं	3	
वाँ	3	
सं	3	
हों	3	
२	3	
३	3	
ओं	2	
किं	2	
कुँ	2	
खौ	2	
गैं	2	
ङौ	2	
चौं	2	
टाँ	2	
डै	2	
ताँ	2	
ध्‌	2	
पिं	2	
फँ	2	
फें	2	
भै	2	
वो	2	
७	2	
८	2	
कँ	1	
किे	1	
कों	1	
कौं	1	
खिं	1	
खों	1	
घ्‍	1	
च्‌	1	
छँ	1	
छाँ	1	
छै	1	
झँ	1	
झु‌	1	
झ्‌	1	
टँ	1	
टुँ	1	
ठा‌	1	
ठु	1	
ठें	1	
डुँ	1	
तों	1	
थिं	1	
थौ	1	
दिं	1	
दौ	1	
धाँ	1	
धुँ	1	
नँ	1	
नुँ	1	
न‌	1	
फ्‌	1	
भों	1	
यौं	1	
राँ	1	
लिं	1	
