cluster	count	casing patterns
ས	46820	
ག	46076	
ད	41465	
ང	40450	
བ	35657	
ན	32340	
མ	27490	
ར	20289	
འ	19449	
གི	16320	
ལ	15131	
ལུ	12548	
པ	11942	
དེ	10604	
མི	10133	
ཅི	7761	
ཁོ	6656	
ཚུ	5845	
འི	5833	
ཨི	5115	
ཀྱི	5025	
ཟེ	4991	
ནི	4536	
སྦེ	4521	
དི	4194	
ཡ	4163	
ཝ	3960	
ཁ	3949	
ཁྱེ	3376	
ཆོ	3356	
ནུ	3310	
ཏེ	3216	
དོ	2951	
ཤུ	2866	
གོ	2714	
ཀོ	2637	
འོ	2575	
ཅ	2563	
སྟེ	2454	
ཡེ	2440	
ཡོ	2438	
རུ	2271	
མེ	2238	
ཐོ	2185	
ཨ	2027	
ཚ	1967	
སུ	1961	
ཏ	1958	
སོ	1956	
སླ	1888	
སྡོ	1875	
ཞུ	1864	
དུ	1821	
ཆ	1753	
ཞ	1697	
གྱི	1690	
སྨོ	1677	
ཟུ	1658	
ཀ	1592	
ཐུ	1524	
ཏོ	1515	
ལོ	1505	
སྐོ	1504	
པོ	1487	
ཉི	1477	
ཚོ	1477	
ཞི	1342	
ཐ	1307	
ཤ	1274	
རྐྱ	1265	
སེ	1225	
བུ	1211	
ལེ	1211	
རི	1166	
ཡི	1159	
སྟོ	1139	
ཛ	1120	
བོ	1089	
གྱོ	1072	
རྒྱ	1062	
ཟ	1056	
ཁྱོ	1030	
དྲ	964	
གུ	955	
ཙོ	941	
སྐྱེ	931	
ཤི	921	
ཉ	913	
ཅུ	908	
ཤེ	904	
ཁྲི	891	
མོ	832	
ནཱ	819	
སྐུ	774	
རཱི	768	
ཕ	764	
རྒྱུ	764	
ངེ	756	
ཤོ	756	
ཁི	736	
ལཱ	717	
སྐ	697	
བྱི	693	
སློ	680	
ནོ	664	
བྱོ	654	
ཁྱ	651	
ཆེ	625	
ཧ	624	
ཁྱི	612	
ཧེ	610	
ཟོ	597	
བྱ	581	
ཞེ	573	
ལྟ	573	
ཕྱ	551	
ཕུ	546	
ཕོ	529	
རེ	513	
སི	512	
ངོ	498	
སྲུ	486	
པེ	483	
ཁྲོ	478	
གྲ	478	
སྦོ	474	
ཕྱི	468	
འུ	463	
བྱུ	456	
ཟི	449	
ཆུ	431	
རྟ	426	
ཚེ	420	
དྲི	399	
ཡུ	397	
སྡི	391	
སྒོ	388	
སྒྲི	386	
ཛོ	383	
རོ	381	
ལི	377	
བྲི	364	
ཙ	364	
ཉེ	363	
རྟེ	360	
ཙུ	354	
ཁུ	349	
སྤུ	342	
ལྟོ	336	
གྱུ	332	
སྡུ	328	
ཧུ	328	
ལྷ	326	
གླི	313	
རྩ	309	
ལྷོ	306	
སྲ	288	
ཏི	277	
ཕྱེ	275	
ཕྲ	271	
ཏུ	270	
སྤྲོ	269	
བློ	267	
གྲུ	266	
སྐྱོ	265	
ཁྲ	254	
དྲོ	253	
སྐྱ	253	
ཇ	252	
ཕྱོ	250	
རྗེ	248	
ཀུ	232	
དྲེ	230	
ཏྲོ	229	
བླ	223	
སྒ	222	
རྩི	217	
སྦུ	216	
ཛུ	214	
སྲི	210	
ཕྲོ	200	
ཐེ	196	
ཁྲུ	190	
ཀྲི	183	
སྔ	180	
ཚི	174	
སྲོ	171	
རྗི	161	
ལྡ	161	
ཇུ	159	
