cluster	count	casing patterns
a	350517	
r	135175	
i	106668	
e	97120	
b	89142	
ã	82306	
d	76846	
j	53489	
d̶	49993	only_lower
u	48681	
m	47146	
ʌ	43878	
c	41520	
o	39027	
n	39006	
s	35613	
b̶	26858	only_lower
ʌ̃	26674	
w	25595	
p	23118	
ẽ	23067	
ĩ	16097	
t	12364	
õ	9503	
q	8972	
ũ	8925	
z	7516	
y	7375	
l	6570	
g	5828	
ẽ́	5695	only_lower
h	3820	
í	2393	only_lower
v	1286	
á	835	
é	763	only_lower
1	627	
ʌ́	557	only_lower
ʌ̃́	371	only_lower
2	327	
ú	208	only_lower
3	183	
0	168	
4	159	
5	143	
6	115	
b̸	94	only_upper
8	93	
ó	93	only_lower
7	92	
9	86	
x	11	only_lower
k	5	
ñ	4	only_lower
