cluster	count	casing patterns
а	85624	
ы	77258	
и	70584	
т	60517	
н	59586	
у	54045	
л	52087	
к	43765	
қ	39883	
м	33651	
с	32339	
ӷ	31654	
ң	29610	
ъ	29299	
ҳ	22962	only_lower
а̄	22773	
ю	21499	
п	20291	
г	18179	
я	17650	
х	15128	
ӣ	14402	
ў	7239	
р	5839	
в	5709	
ӯ	4883	
е	3767	
о	3371	
ф	2640	
ь	2367	only_lower
я̄	1795	only_lower
з	1496	
й	1340	
д	1197	
ю̄	1077	
ш	331	only_lower
б	273	
ч	234	
0	233	
щ	218	only_lower
ц	63	
1	37	
ё	32	only_lower
2	29	
4	29	
5	21	
ж	17	
ʼ	12	
э	12	
3	11	
6	11	
7	6	
9	4	
8	1	
