cluster	count	casing patterns
a	374685	
u	335043	
e	333058	
n	238056	
o	214606	
i	194105	
h	187654	
w	169843	
l	166657	
ụ	149326	
k	144340	
b	142111	
ẹ	136186	
y	117188	
ọ	117054	
r	110522	
m	108329	
d	94310	
g	91323	
t	85845	
s	70086	
j	48058	
z	36844	
p	33725	
f	24732	
c	24524	
ị	23246	
v	8717	
í	6337	
á	5732	
é	4658	
ó	2640	
ú	1577	
ù	579	
ụ̀	441	
ẹ́	319	
ọ́	293	
à	165	
ọ̀	126	
ò	85	
ì	49	
ị́	47	
ụ́	29	only_lower
è	22	only_lower
ǹ	20	
ẹ̀	19	
6	5	
ị̀	5	only_lower
1	3	
m̀	2	
7	1	
9	1	
ń	1	only_lower
