cluster	count	casing patterns
र	49177	
न	21216	
न्	19974	
ना	17946	
म	17170	
अ	15295	
स	14949	
नि	14375	
क	14184	
य	13403	
ता	12268	
प	11033	
इ	10839	
मा	10434	
या	10267	
व	9892	
ओ	9857	
तो	9446	
कु	9439	
कि	8887	
आ	8799	
तु	8667	
लो	8332	
ह	7902	
वा	7817	
ल	7738	
ति	7092	
ग	6901	
स्	6332	
द	6223	
रा	6180	
का	5754	
ट	5607	
दा	5372	
गा	5109	
ने	5049	
ते	4995	
के	4909	
बा	4812	
रो	4763	
सा	4740	
जो	4703	
पु	4368	
ये	4346	
मे	4146	
बो	4086	
सु	4055	
दि	4008	
त	3964	
रि	3868	
वि	3694	
पो	3640	
ला	3556	
सि	3110	
ब	3095	
हि	3019	
दे	2881	
हे	2738	
रे	2713	
दु	2700	
हा	2680	
मि	2667	
टि	2626	
ले	2492	
ज	2486	
ल्	2445	
हु	2342	
त्	2075	
ळ	2020	
उ	1867	
मु	1860	
बु	1821	
वे	1796	
नु	1768	
प्	1759	
सो	1690	
क्	1661	
जा	1624	
यो	1557	
पा	1382	
सं	1371	
यि	1312	
डा	1227	
चा	1189	
टा	1180	
पि	1173	
जे	1159	
नो	1149	
ड	1063	
जि	1062	
चे	1050	
ख	1041	
वो	1034	
लि	1013	
श	996	
को	952	
च	925	
बे	876	
रु	875	
च्	783	
ग्	733	
चि	655	
ण	639	
द्	624	
चु	611	
र्	585	
भा	556	
म्	539	
जु	528	
ळा	518	
लु	511	
ळि	499	
गि	495	
तां	491	
दो	460	
थ	452	
मू	450	
डि	443	
मो	435	
लों	432	
गु	423	
चो	415	
ध	412	
व्	397	
यु	396	
से	385	
शा	379	
टो	350	
बि	332	
नुं	291	
पे	282	
खा	281	
गो	280	
ज्	276	
ष्	272	
वु	270	
ष	268	
शि	249	
दू	236	
यां	235	
टे	215	
डे	215	
हो	213	
डु	201	
ए	197	
भ	194	
श्	193	
ब्	182	
तुं	175	
खो	173	
नां	166	
फ	163	
ळे	161	
री	158	
दुः	157	
ठ	153	
भी	151	
थि	142	
रां	141	
रिं	141	
लें	137	
भि	133	
ध्	131	
गे	125	
हों	124	
फि	120	
फा	118	
मिं	117	
शु	114	
षा	114	
बुं	102	
अं	100	
धि	100	
ली	89	
डां	85	
सिं	85	
टिं	80	
डों	79	
तों	77	
वां	77	
ळां	74	
लुं	72	
इं	65	
वी	59	
मी	53	
घ	52	
ळिं	52	
युं	51	
दुं	50	
खि	48	
टु	48	
डो	48	
वं	48	
रं	47	
लिं	47	
षि	47	
पू	46	
यू	46	
य्	45	
सां	44	
मां	41	
शे	41	
टां	40	
ळो	39	
भु	38	
फे	36	
फु	35	
लां	34	
हू	33	
जी	32	
विं	31	
ळं	30	
किं	29	
भे	28	
दं	26	
ढ	24	
थु	23	
था	21	
रें	21	
कों	20	
घा	20	
लं	20	
खु	19	
ळी	19	
शं	19	
चुं	18	
टें	18	
ट्	18	
डिं	18	
पों	18	
भो	18	
लू	18	
ख्	17	
दिं	17	
निं	17	
यों	17	
णि	16	
सृ	16	
झ	15	
सी	15	
धा	14	
सू	14	
कां	13	
गं	13	
णा	13	
पुं	13	
रू	13	
ञा	12	
यिं	12	
कं	11	
ठि	11	
धु	11	
पं	11	
बां	11	
रुं	11	
ळु	11	
ऊ	10	
गां	10	
थे	10	
दां	10	
रों	10	
ळें	10	
हिं	10	
गिं	9	
तिं	9	
थो	9	
दी	9	
फ्	9	
जं	8	
टों	8	
नी	8	
नों	8	
छा	7	
जां	7	
बी	7	
भां	7	
वों	7	
की	6	
जिं	6	
ती	6	
दृ	6	
पी	6	
मं	6	
शी	6	
कू	5	
खं	5	
चां	5	
डी	5	
दों	5	
बू	5	
ही	5	
ची	4	
ठे	4	
तृ	4	
तें	4	
धी	4	
यी	4	
शो	4	
कुं	3	
कृ	3	
चिं	3	
डं	3	
ण्	3	
तं	3	
ळुं	3	
षे	3	
सों	3	
ह्	3	
चं	2	
टी	2	
टुं	2	
ठु	2	
ढा	2	
धू	2	
फी	2	
फो	2	
बिं	2	
रीं	2	
ळीं	2	
हुं	2	
आं	1	
एे	1	
खे	1	
गृ	1	
घं	1	
घु	1	
घे	1	
चों	1	
छे	1	
जों	1	
झा	1	
झु	1	
झुं	1	
झो	1	
ठी	1	
ठो	1	
ड्	1	
ढि	1	
ढी	1	
ढु	1	
णं	1	
णां	1	
तेः	1	
थी	1	
थ्	1	
धे	1	
धो	1	
नं	1	
नू	1	
फं	1	
बं	1	
भं	1	
भू	1	
मुं	1	
यीं	1	
रः	1	
सें	1	
हं	1	
हां	1	
