cluster	count	casing patterns
نْ	23631	
ا	22484	
ن	20675	
و	17191	
مْ	15525	
ٻٜ	12695	
ي	10713	
اَ	10290	
غَ	10282	
مَ	10261	
اٜ	9748	
دٜ	9274	
کٛ	9039	
رْ	8091	
لْ	7536	
اٛ	7304	
ىٰ	7211	
طُ	6839	
تٛ	6835	
يْ	6437	
مِ	6255	
مٛ	6213	
وَ	6195	
نَ	5975	
طٛ	5600	
دِ	5465	
تَ	5422	
کِ	5017	
يَ	4983	
نِ	4982	
وْ	4789	
وٛ	4707	
غٛ	4397	
يٜ	4326	
يِ	4102	
نٛ	4041	
رِ	3961	
کَ	3953	
طِ	3936	
دَ	3746	
لَ	3684	
طَ	3608	
رَ	3481	
وِ	3435	
رٜ	3422	
سُ	3402	
تِ	3399	
طٜ	3256	
عِ	3177	
حَ	3148	
لَّ	3036	
جٛ	2934	
دُ	2875	
دٛ	2843	
ل	2627	
ه	2627	
بَ	2612	
حٛ	2387	
سٜ	2345	
عٛ	2294	
جَ	2266	
بِ	2173	
حُ	2154	
رُ	2117	
عٜ	2019	
لِ	2004	
م	1874	
مَّ	1858	
سْ	1840	
مٜ	1826	
عَ	1820	
فُ	1758	
بٛ	1746	
ٻّٜ	1644	
مُ	1643	
طّٛ	1611	
ݧَ	1605	
غِ	1574	
ع	1506	
لٜ	1429	
ٻِ	1410	
رٛ	1385	
کُ	1377	
کُّ	1355	
تٜ	1352	
سَ	1330	
سِ	1312	
کٜ	1282	
کِّ	1277	
نٜ	1211	
وُ	1108	
ٻَ	1100	
تُ	1075	
شَ	1071	
غٜ	1053	
اِ	1050	
جِ	1005	
شٜ	918	
فَ	874	
لُ	852	
حِ	827	
يٛ	816	
بُ	809	
سٛ	799	
جُ	759	
بٜ	729	
اُ	715	
عُ	709	
لٛ	684	
ٻُ	665	
فِ	662	
حٜ	607	
طُّ	598	
جٜ	589	
کَّ	585	
نُ	502	
کّٜ	501	
لِّ	493	
تَّ	492	
غُ	486	
پَ	474	
تِّ	450	
بّٛ	430	
لُّ	429	
طِّ	419	
ݧِ	413	
طَّ	392	
نَّ	384	
فٜ	368	
وٜ	365	
پِ	357	
دِّ	347	
ٻِّ	325	
دّٜ	321	
شُ	321	
طْ	316	
فٛ	310	
ڤَ	287	
شُّ	283	
0	279	
بِّ	278	
ݧُ	274	
مِّ	258	
يُ	258	
ٻٛ	256	
شِ	244	
رَّ	238	
دَّ	214	
فْ	212	
ݧٛ	212	
نّٛ	195	
مُّ	188	
کّٛ	187	
ڤّٛ	181	
عِّ	175	
ڤٛ	174	
شِّ	173	
ڤُ	169	
طّٜ	167	
ڤِ	166	
نِّ	165	
شٛ	152	
دُّ	151	
ڤْ	146	
غِّ	137	
جِّ	135	
بْ	128	
پٜ	125	
تُّ	124	
ݧْ	109	
ٻْ	107	
هِ	105	
دّٛ	102	
شَّ	100	
لّٛ	98	
لّٜ	94	
مّٛ	94	
شّٜ	87	
پِّ	83	
ڤِّ	76	
غّٛ	70	
تّٛ	69	
پٛ	69	
بَّ	65	
غَّ	64	
عّٛ	63	
ٻَّ	63	
ڤٜ	54	
1	53	
ٻّٛ	53	
ٻُّ	51	
رُّ	50	
نُّ	50	
4	47	
5	47	
ݧٜ	46	
ݝَ	45	
نّٜ	44	
غُّ	42	
2	40	
تْ	40	
پُ	40	
عَّ	36	
عّٜ	33	
بّٜ	31	
رِّ	31	
6	30	
کْ	27	
جُّ	25	
رّٛ	24	
جّٛ	23	
3	21	
تّٜ	21	
رّٜ	21	
مّٜ	19	
شّٛ	16	
ڤَّ	16	
7	15	
بُّ	15	
ݝٛ	15	
ح	12	
عُّ	12	
غّٜ	11	
فَّ	11	
8	9	
9	9	
ر	9	
پّٜ	9	
جَّ	8	
هَ	5	
ݝْ	5	
غْ	4	
وَّ	4	
ک	4	
ݝِ	4	
جّٜ	3	
دْ	2	
شْ	2	
پُّ	2	
ݝُ	2	
