cluster	count
نْ	23384
ا	22215
ن	20445
و	17018
مْ	15343
ٻٜ	12583
ي	10587
اَ	10149
غَ	10143
مَ	10136
اٜ	9652
دٜ	9154
کٛ	8913
رْ	8000
لْ	7433
اٛ	7232
ىٰ	7158
تٛ	6776
طُ	6737
يْ	6382
مِ	6226
مٛ	6176
وَ	6122
نَ	5925
طٛ	5558
دِ	5442
تَ	5349
کِ	4962
يَ	4944
نِ	4918
وْ	4735
وٛ	4646
غٛ	4375
يٜ	4288
يِ	4050
نٛ	3994
رِ	3933
طِ	3909
کَ	3906
دَ	3699
لَ	3636
طَ	3563
رَ	3440
رٜ	3390
وِ	3388
سُ	3378
تِ	3370
طٜ	3223
عِ	3129
حَ	3115
لَّ	2976
جٛ	2908
دُ	2846
دٛ	2822
بَ	2579
ل	2574
ه	2574
حٛ	2361
سٜ	2330
عٛ	2277
جَ	2253
بِ	2162
حُ	2126
رُ	2095
عٜ	1992
لِ	1992
م	1866
مَّ	1840
سْ	1828
عَ	1801
مٜ	1795
فُ	1739
بٛ	1728
مُ	1627
ٻّٜ	1626
طّٛ	1596
ݧَ	1595
غِ	1563
ع	1493
لٜ	1417
ٻِ	1390
رٛ	1383
کُ	1365
تٜ	1341
کُّ	1341
سَ	1317
سِ	1284
کٜ	1270
کِّ	1268
نٜ	1199
وُ	1107
ٻَ	1090
تُ	1066
شَ	1058
غٜ	1047
اِ	1034
جِ	997
شٜ	911
فَ	868
لُ	849
حِ	822
بُ	807
يٛ	807
سٛ	794
جُ	749
بٜ	721
اُ	709
عُ	696
لٛ	679
فِ	660
ٻُ	658
حٜ	602
طُّ	595
جٜ	589
کَّ	577
نُ	495
کّٜ	490
لِّ	487
تَّ	484
غُ	479
پَ	471
تِّ	447
بّٛ	429
لُّ	426
طِّ	412
ݧِ	406
طَّ	386
نَّ	380
فٜ	366
وٜ	362
پِ	353
دِّ	340
ٻِّ	324
دّٜ	318
شُ	317
طْ	313
فٛ	309
ڤَ	283
شُّ	280
0	279
بِّ	270
ݧُ	269
ٻٛ	256
مِّ	253
يُ	253
شِ	242
رَّ	234
دَّ	211
فْ	210
ݧٛ	205
نّٛ	193
مُّ	188
کّٛ	182
ڤّٛ	181
عِّ	175
ڤٛ	173
شِّ	172
ڤُ	168
طّٜ	167
ڤِ	166
نِّ	165
شٛ	152
دُّ	149
ڤْ	146
غِّ	137
جِّ	134
بْ	128
پٜ	124
تُّ	121
ٻْ	107
ݧْ	107
هِ	105
دّٛ	102
شَّ	100
لّٛ	98
لّٜ	93
مّٛ	93
شّٜ	87
پِّ	82
ڤِّ	76
غّٛ	69
پٛ	68
تّٛ	67
بَّ	65
غَّ	64
ٻَّ	63
عّٛ	62
1	53
ٻّٛ	53
ڤٜ	53
نُّ	50
ٻُّ	50
رُّ	49
4	47
5	47
ݝَ	45
نّٜ	44
ݧٜ	43
غُّ	41
2	40
تْ	40
پُ	40
عَّ	36
عّٜ	33
بّٜ	31
رِّ	31
6	30
کْ	27
جُّ	25
رّٛ	24
جّٛ	23
3	21
تّٜ	21
رّٜ	21
مّٜ	19
شّٛ	16
ڤَّ	16
7	15
بُّ	15
ݝٛ	14
ح	12
عُّ	12
غّٜ	11
فَّ	11
8	9
9	9
ر	9
پّٜ	9
جَّ	8
هَ	5
ݝْ	5
غْ	4
وَّ	4
ک	4
ݝِ	4
جّٜ	3
دْ	2
شْ	2
پُّ	2
ݝُ	2
