cluster	count	casing patterns
a	153519	
ɨ	120882	
g	82384	
n	61403	
e	57745	
k	45753	
d	42389	
y	40657	
b	37989	
u	36043	
ŋ	35889	only_lower
l	35667	
i	30574	
n̰	29815	
o	29249	
ɔ	27777	
m	24822	
r	23226	
s	19621	
c	12276	
w	12088	
h	11955	
t	11400	
ɗ	10733	
ɛ	10690	
j	8723	
p	5056	
ə	4906	
ƴ	3808	
o̰	2580	only_lower
ɓ	905	
a̰	278	only_lower
ḛ	222	only_lower
1	51	
ɛ̰	39	only_lower
2	19	
3	18	
4	14	
5	13	
v	11	only_lower
0	10	
ə̰	10	only_lower
7	7	
6	6	
ɔ̰	5	only_lower
9	4	
ɨ̰	4	only_lower
8	3	
