cluster	count	casing patterns
र	37403	
अ	18280	
न	17853	
म	14747	
ब	13203	
त	11442	
क	11399	
स	11359	
का	11308	
प	11180	
मा	8978	
कि	8902	
ग	7864	
तैं	7267	
वे	7254	
रा	6776	
ज	5736	
ण	5730	
व	5688	
च	5674	
नि	5464	
स्	5192	
या	4942	
तु	4810	
ल	4808	
द	4780	
ह	4663	
दु	4497	
इ	4444	
न्	4377	
की	4341	
लो	4100	
मि	4066	
मे	4054	
बा	3884	
वा	3835	
लि	3772	
दि	3664	
उ	3496	
भि	3493	
को	3423	
शु	3284	
कै	3258	
ऊं	3128	
जा	3116	
के	3111	
लै	3088	
ता	3082	
री	3031	
यी	2886	
से	2831	
ख	2778	
गु	2774	
ना	2525	
जु	2477	
यां	2417	
दे	2400	
णि	2397	
गै	2391	
णा	2376	
खु	2367	
टि	2358	
खि	2349	
कु	2329	
द्‍	2301	
रि	2150	
यू	2145	
ला	2130	
य	2106	
बि	2099	
बो	2091	
त्	2068	
आ	2020	
लु	2010	
दा	2007	
मु	2002	
नी	1942	
ए	1917	
ही	1876	
तै	1860	
णु	1858	
हो	1785	
ई	1741	
सी	1739	
रु	1704	
पि	1688	
पा	1645	
यों	1576	
प्	1531	
सा	1527	
छौ	1522	
ड़ा	1516	
ये	1451	
छ	1441	
ह्‍	1427	
र्	1351	
कू	1323	
न्‍	1294	
णी	1266	
खा	1244	
वु	1226	
ल्	1211	
ज्	1204	
दी	1159	
ति	1157	
सु	1157	
चा	1147	
बु	1142	
जै	1137	
छा	1105	
क्	1090	
छि	1079	
रो	977	
वि	966	
ध	959	
पू	952	
ली	948	
भ	926	
फ	889	
थ	871	
फि	866	
ड़	865	
ईं	828	
जी	808	
ऐ	804	
औ	801	
पै	777	
भै	776	
गि	768	
छौं	745	
नौ	745	
गा	742	
भौ	732	
ले	723	
चि	720	
ळा	715	
रै	712	
भु	696	
तों	692	
च्‍	687	
ऊ	684	
ती	673	
सि	668	
रौ	657	
हा	648	
हे	648	
ळ	639	
ट	633	
यूं	624	
पु	608	
चे	604	
रे	589	
ठि	581	
छै	572	
पौ	560	
श	543	
वीं	537	
हू	531	
च्	496	
ड़ि	490	
ख्	484	
ळु	484	
नु	481	
जौ	465	
हि	465	
नों	457	
ड़ी	454	
छाँ	453	
मी	433	
तू	429	
दू	428	
बे	428	
ब्	424	
शा	421	
म्	418	
ड़ु	416	
यो	416	
बी	409	
द्	393	
बैं	393	
नै	392	
रों	385	
लों	375	
ऽ	374	
ग्	373	
ते	371	
भे	364	
सै	353	
णो	345	
फा	334	
जौं	328	
ठ्‍	327	
तौ	326	
छी	324	
ञा	323	
मौ	319	
बै	312	
णै	311	
छु	302	
रू	301	
ळि	294	
मू	293	
ड	291	
ण्	289	
पो	289	
टा	288	
घौ	285	
ठ	284	
धि	283	
जि	281	
ठी	281	
चै	277	
भ्	271	
चु	269	
मो	269	
खी	263	
नू	261	
दो	257	
ची	255	
वै	255	
क्‍	254	
स्‍	252	
वी	242	
खै	238	
षा	237	
छां	225	
युं	225	
रौं	221	
ळी	221	
पी	219	
झ	211	
ड़्	207	
झि	206	
ध्	206	
बू	204	
छो	201	
ट्‍	197	
खू	194	
टी	193	
ठा	192	
चौ	190	
डा	185	
यु	184	
थि	181	
शि	179	
सो	177	
भी	175	
फै	170	
भा	166	
ठै	165	
पौं	165	
खौ	161	
मों	160	
यौ	150	
ष	141	
ल्‍	138	
जों	136	
ळो	135	
ओं	133	
घ	132	
जो	131	
णौ	125	
मै	124	
झू	122	
ने	121	
लौ	121	
गौ	120	
पों	119	
खो	116	
गी	113	
ड़ै	113	
शै	112	
हाँ	110	
डौ	107	
शी	107	
अं	106	
आं	106	
यै	104	
सों	104	
धा	102	
सौ	101	
टु	98	
गौं	97	
चों	94	
जे	93	
डै	92	
दैं	92	
टो	88	
छ्	87	
धी	86	
रुं	86	
टों	83	
भो	82	
मां	82	
ठे	80	
खे	79	
ष्	78	
श्	76	
ड़ों	75	
कों	73	
सं	73	
सू	71	
लां	70	
ठु	66	
णे	66	
