cluster	count	casing patterns
ی	89821	
و	85469	
ا	53467	
د	41832	
ن	40501	
ر	37657	
ه	37594	
م	34565	
ب	34040	
أ	33970	
ت	25280	
ک	24208	
س	21646	
ش	16479	
خ	12582	
ل	9618	
ف	9394	
گ	9018	
نٚ	8921	
ز	7992	
ج	7899	
اَ	6542	
ع	6037	
پ	6036	
نَ	5382	
ق	4277	
چ	4246	
ه‌	4093	
رَ	3583	
ح	3128	
ط	2690	
آ	2388	
رٚ	2325	
ی‌	2115	
یَ	2092	
ئ	1913	
مٚ	1906	
دَ	1900	
ص	1589	
جٚ	1424	
دٚ	1321	
لٚ	1066	
غ	1034	
هَ	988	
تٚ	960	
رِ	923	
مَ	911	
سَ	907	
یٚ	898	
سٚ	730	
ض	588	
ظ	570	
لُ	543	
بٚ	542	
تَ	511	
لَ	463	
کَ	439	
بِ	428	
بَ	396	
ذ	392	
وّ	390	
دِ	371	
زٚ	326	
فٚ	302	
شٚ	292	
کٚ	284	
جُ	277	
شَ	250	
مّ	246	
زَ	232	
جَ	188	
ث	182	
فَ	176	
قٚ	175	
مِ	174	
وٚ	155	
حٚ	153	
دُ	142	
زِ	142	
دّ	136	
حَ	125	
خُ	125	
وَ	122	
عَ	119	
ت‌	118	
شِ	118	
فِ	113	
هٚ	111	
نِ	105	
اِ	103	
ح‌	98	
نٚ‌	97	
قَ	94	
ن‌	94	
خٚ	93	
سِ	88	
ثٚ	87	
تِ	86	
بّ	84	
گٚ	76	
رُ	74	
س‌	67	
پِ	67	
صُ	66	
غٚ	66	
وِ	66	
تّ	64	
کِ	59	
ظَ	53	
اً	52	
ش‌	52	
غَ	46	
صَ	43	
پُ	43	
یِ	43	
و‌	42	
۲	42	
ل‌	40	
مُ	40	
ب‌	39	
رّ	39	
گَ	38	
سُ	35	
ضَ	34	
ظٚ	34	
ضٚ	32	
طٚ	32	
کُ	31	
وُ	30	
خَ	29	
طَ	29	
عِ	29	
م‌	28	
کْ	27	
دْ	26	
۳	25	
لّ	24	
نّ	24	
۰	24	
ج‌	23	
یّ	23	
۱	23	
ا‌	22	
بُ	22	
لِ	22	
صَّ	21	
هِ	20	
صٚ	19	
قُ	19	
تُ	18	
تْ	18	
قّ	18	
ؤ	18	
۵	18	
گُ	17	
۷	17	
حِ	16	
عٚ	16	
۶	16	
جِ	15	
عُ	15	
ء	14	
ثَ	13	
جْ	13	
شُ	13	
صِ	13	
نْ	13	
پٚ	13	
گْ	13	
۴	13	
ع‌	12	
مٚ‌	12	
حْ	11	
چٚ	11	
گِ	11	
اُ	10	
فُ	10	
قِ	10	
پَ	10	
چ‌	10	
أ‌	9	
چَ	9	
رْ	8	
طُ	8	
غُ	8	
لَّ	8	
نُ	8	
ر‌	7	
فّ	7	
ئَ	7	
پّ	7	
کّ	7	
دَّ	6	
زّ	6	
فْ	6	
پْ	6	
۹	6	
دَ‌	5	
قَّ	5	
چِ	5	
یْ	5	
۸	5	
تٚ‌	4	
دٚ‌	4	
سْ	4	
سٚ‌	4	
ظِ	4	
غ‌	4	
ق‌	4	
لْ	4	
هُ	4	
ژ	4	
گ‌	4	
بٚ‌	3	
د‌	3	
قّٚ	3	
لٚ‌	3	
ئِ	3	
ک‌	3	
ثِ	2	
جَّ	2	
جّ	2	
حُ	2	
خِ	2	
دّٚ	2	
سّ	2	
شٚ‌	2	
صْ	2	
ف‌	2	
قْ	2	
قٚ‌	2	
مْ	2	
چّ	2	
کٚ‌	2	
یُ	2	
d	1	only_lower
بْ	1	
ثٚ‌	1	
خِ‌	1	
خْ	1	
خ‌	1	
ذٚ	1	
رْ‌	1	
زَّ	1	
زُ	1	
ز‌	1	
سَّ	1	
شّ	1	
ش‍	1	
صّ	1	
ض‌	1	
طَّ	1	
طّ	1	
طٚ‌	1	
فَِ	1	
فَّ	1	
فٚ‌	1	
لِ‌	1	
لْ‌	1	
نَ‌	1	
ي	1	
چُ	1	
کِْ	1	
یَ‌	1	
یٚ‌	1	
