cluster	count	casing patterns
a	59012	
ɩ	55673	
n	46670	
r	43539	only_lower
ɛ	40456	
á	37096	
k	34911	
ɩ́	34849	
m	29568	
y	25764	
h	25158	
b	23435	
s	22605	
p	22551	
w	22416	
t	21181	
é	18348	
i	18054	
d	14481	
í	14439	
ʋ	13528	
ʋ́	12594	
ɔ	12220	
g	11973	
o	10078	
e	8990	
ŋ	8966	only_lower
ã	8841	only_lower
ɔ́	7420	only_lower
ɩ̃	7235	
ɛ́	6480	
ɲ	6437	
u	6341	
ó	4826	
ú	4126	
ɩ̃́	3975	
f	3715	
ã́	2572	only_lower
ɛ̂	2513	only_lower
ʋ̃	1914	
l	1606	
ɩ̂	1408	only_lower
ĩ	1226	only_lower
â	1216	only_lower
j	1155	
ɛ̃	944	only_lower
ʋ̃́	907	only_lower
ʋ̂	883	
z	875	
ũ	606	only_lower
ɛ̃́	277	only_lower
ṹ	275	only_lower
ǎ	245	only_lower
ĩ́	243	only_lower
v	194	only_lower
ɔ̂	180	only_lower
ɛ̌	169	only_lower
ɔ̌	168	
1	163	
ê	97	only_lower
î	88	only_lower
ô	69	only_lower
2	67	
ã̂	53	only_lower
4	44	
0	42	
ã̌	37	only_lower
ǒ	37	only_lower
ɔ̃́	34	
3	31	
õ	30	only_lower
û	27	only_lower
ũ̂	26	only_lower
8	25	
6	23	
7	23	
ɔ̃	22	only_lower
5	17	
ɩ̃̂	17	only_lower
ǐ	15	only_lower
ě	13	only_lower
ṍ	12	only_lower
9	11	
c	3	only_lower
ĩ̌	3	only_lower
ɩ̌	2	only_lower
