cluster	count
a	58008
ɩ	54764
n	44561
r	42841
ɛ	39729
á	36075
ɩ́	34219
k	33056
m	27278
h	24554
b	22662
w	21788
s	20978
p	20345
t	18900
i	17806
é	17792
y	17101
d	13954
í	13947
ʋ	13123
ɔ	11909
ʋ́	11712
g	11682
o	9987
e	8912
ŋ	8873
ã	8724
ɔ́	7331
ɩ̃	6859
ɛ́	6368
ɲ	6334
u	6250
ó	4749
ú	4055
ɩ̃́	3795
f	3393
ã́	2535
ɛ̂	2487
ʋ̃	1881
l	1489
ɩ̂	1382
ĩ	1218
â	1189
ɛ̃	912
ʋ̃́	877
ʋ̂	862
z	804
ũ	604
ṹ	271
ɛ̃́	271
ǎ	243
ĩ́	242
v	184
ɔ̂	176
1	164
ɛ̌	161
ɔ̌	154
ê	100
î	88
2	67
ô	67
ã̂	54
j	54
0	44
4	44
ǒ	37
ã̌	34
3	31
õ	30
ɔ̃́	28
û	27
8	25
ũ̂	25
6	24
ɔ̃	24
7	23
5	17
ɩ̃̂	17
ǐ	16
ě	12
ṍ	12
9	11
c	3
ĩ̌	3
ɩ̌	2
