cluster	count	casing patterns
n	106189	
i	83274	
a	56676	
b	47933	
ɛ	45987	
e	43011	
k	41471	
u	39376	
ɔ	29615	only_lower
l	28187	
t	27945	
y	25296	
m	23202	
o	16811	
w	13151	
s	12763	
r	12398	
d	9227	
h	9205	
ʼ	8914	
à	8882	only_lower
p	8528	
í	6705	only_lower
j	6275	
g	6201	
ŋ	5909	
c	5773	
f	5603	
ń	3774	
ì	3269	
ñ	3086	
é	2824	only_lower
ɛ̀	1954	only_lower
ù	1866	only_lower
è	1769	only_lower
ó	1456	only_lower
ɔ̀	1006	only_lower
á	875	
ò	182	only_lower
ɔ́	159	only_lower
1	137	
2	68	
3	39	
4	25	
5	25	
ú	22	only_lower
6	21	
8	19	
0	15	
7	13	
ɛ́	12	only_lower
9	11	
