cluster	count	casing patterns
e	237649	
a	236093	
r	102064	
u	93869	
i	88975	
o	81831	
t	72780	
w	72456	
p	71201	
j	57887	
m	54848	
k	52028	
ɨ	36483	
y	36032	
n	28563	
b	24646	
c	23657	
s	23370	
h	20853	
ä	17828	
d	16811	
ñ	14219	
ë	10551	only_lower
ï	8221	
á	7074	
í	3748	
ú	3596	
g	3370	
l	3369	
é	2661	
ɨ̈	595	only_lower
v	556	only_lower
f	503	
ó	481	only_lower
ö	362	only_lower
z	204	
ü	202	only_lower
q	131	
0	119	
1	53	
2	33	
3	28	
x	27	only_lower
5	26	
7	22	
4	21	
9	19	
6	18	
8	16	
