cluster	count
ን	19454
ይ	17309
ና	16251
ሳ	14972
ታ	13264
ያ	12811
ኣ	10907
ዳ	10876
ስ	10252
ሲ	8591
ጊ	8213
ቲ	7468
ዲ	7441
ባ	7218
ኢ	7139
ቴ	7111
ማ	6974
ላ	6494
ዴ	6456
ኔ	5543
ካ	5319
ሃ	4998
ኦ	4738
ዎ	4691
ኤ	4562
ኮ	4333
ራ	4276
ኒ	4104
	4090
ው	4024
ሂ	4015
ዬ	3960
ዶ	3788
ሶ	3509
ጋ	3494
ሱ	3132
ሜ	3111
ኡ	3069
ዋ	3066
ኪ	3028
ቃ	2981
ሄ	2959
ዒ	2854
ሺ	2789
ጌ	2690
ፆ	2660
ሪ	2623
ር	2530
ኬ	2469
ሚ	2415
ቶ	2392
ፔ	2367
	2293
ቤ	2202
ሮ	1993
ፌ	1852
ሬ	1802
ኑ	1795
ቦ	1791
ሻ	1742
ቆ	1724
ሎ	1707
ዓ	1702
ሾ	1670
ቢ	1633
ሴ	1544
ጎ	1541
ፃ	1405
ሊ	1329
ሌ	1322
ዔ	1319
ዪ	1295
ሼ	1276
ዛ	1257
ፋ	1179
ዖ	1171
ፂ	1127
ጉ	1078
ሞ	998
ዉ	989
ሁ	950
ቂ	931
ም	866
ዮ	810
ል	779
ቱ	758
ጫ	752
ኖ	736
ፊ	735
ኩ	671
ቾ	669
ዱ	659
ፄ	645
ፒ	637
ፓ	634
ጪ	594
ቄ	581
ቺ	544
	513
	494
ፖ	478
ሙ	432
	413
ጳ	411
	407
ዑ	399
ቻ	370
ሹ	364
ፑ	316
ሆ	313
	301
	299
ጬ	295
ጴ	288
ዚ	272
ቁ	256
ዜ	245
ቡ	240
ብ	230
ሩ	214
ሉ	211
ዞ	201
ዌ	184
ጲ	165
ቼ	143
ፁ	142
ቹ	124
ዩ	124
	113
ፎ	108
ጮ	104
ጄ	102
ዊ	96
	93
ጩ	87
ጶ	74
ፉ	70
ጂ	65
	51
ዙ	42
	40
ሽ	32
1	31
ጃ	26
ጆ	26
0	21
ዝ	20
ጁ	19
2	15
ግ	14
ጱ	13
4	11
3	10
6	6
8	6
ዤ	6
ፍ	6
5	5
	5
7	4
ድ	4
ፕ	4
ት	3
9	2
ህ	2
ዣ	2
ኝ	1
