cluster	count	casing patterns
ర్	38380	
న్	26023	
త	16486	
ల్	13385	
వ	13345	
న	12448	
అ	10738	
బ	10014	
గ	9965	
తె	9202	
మ	8821	
య్	8497	
సి	7847	
తొ	6999	
ట్	6531	
స్	6369	
క్	6322	
కు	6112	
త్	5566	
మ్	5545	
గ్	5534	
ని	5533	
తు	5502	
కి	5435	
క	5394	
రి	5383	
స	5332	
ఇ	5235	
ఆ	4969	
కె	4968	
లి	4925	
ద్	4840	
జె	4481	
ర	4436	
ఇం	4362	
డ్	4339	
తి	4309	
వె	4203	
రొ	4197	
ది	4106	
య	4043	
కీ	4002	
నె	3998	
హ్	3924	
ద	3792	
ప	3748	
మా	3636	
లె	3619	
యే	3603	
సు	3389	
వో	3276	
వం	3229	
మం	3120	
వా	3044	
బా	3008	
సె	2959	
రె	2831	
టి	2822	
దు	2792	
వూ	2632	
జ	2484	
కా	2394	
హ	2307	
డ	2262	
మి	2185	
నా	2159	
సా	2141	
పి	2015	
మీ	2011	
దె	2001	
వ్	1993	
పె	1851	
క్‌	1759	
గి	1755	
పా	1746	
పొ	1721	
ప్	1714	
ర్‌	1636	
వొ	1624	
చి	1551	
గు	1536	
డి	1521	
తం	1519	
ఉం	1480	
ట	1456	
కొ	1445	
దొ	1443	
ఆం	1438	
ము	1383	
తా	1337	
రు	1332	
ల	1327	
బో	1309	
సం	1297	
డె	1274	
సీ	1260	
బు	1251	
డు	1219	
ను	1175	
సూ	1154	
చొ	1140	
చ	1106	
దా	1069	
వి	1063	
హి	1058	
పు	1031	
గొ	1003	
జి	957	
సొ	954	
మొ	944	
నం	886	
పూ	868	
మె	862	
నొ	840	
జ్	804	
యి	792	
రం	786	
నీ	782	
రా	769	
బ్	745	
యు	728	
మో	722	
వే	720	
యొ	716	
చ్	688	
గ్‌	674	
యె	640	
హిం	638	
కేం	628	
ఉ	614	
బె	597	
చె	583	
లా	579	
కీం	563	
తీ	531	
యూ	519	
దం	512	
లు	508	
సొం	501	
లొ	490	
రో	486	
బొ	485	
చు	460	
వు	457	
బూ	447	
గె	445	
జా	416	
నే	407	
సే	402	
కో	393	
జు	377	
టా	375	
టె	372	
పే	359	
జీ	353	
వీ	339	
కే	338	
నేం	332	
స్‌	330	
టొ	313	
జో	312	
న్‌	304	
యో	298	
సోం	282	
ఈ	275	
మేం	272	
డం	265	
సో	260	
బే	259	
మాం	259	
దూ	253	
సీం	246	
టిం	240	
పం	238	
రూ	238	
కం	234	
లో	231	
జే	221	
డొ	211	
వాం	208	
హం	207	
టు	199	
త్‌	193	
పో	190	
గా	188	
లం	180	
టం	175	
గం	171	
హే	169	
హా	166	
హు	162	
కూ	155	
బం	151	
0	149	
ట్‌	143	
దే	138	
తిం	136	
తే	135	
సాం	133	
తెం	129	
మూ	126	
తో	118	
హె	116	
నిం	115	
గో	114	
మ్‌	113	
యా	110	
అం	108	
డుం	104	
మూం	101	
పాం	93	
పీ	93	
కాం	90	
బి	89	
చం	86	
డిం	86	
కోం	85	
విం	84	
దుం	81	
ఎ	79	
యం	77	
యెం	74	
చా	68	
దాం	66	
మిం	65	
రాం	64	
యొం	63	
రెం	62	
లేం	61	
రే	60	
హో	60	
దో	59	
లెం	58	
చ్‌	57	
దీ	57	
లుం	57	
పోం	54	
టాం	52	
తూ	52	
ల్‌	52	
తుం	50	
చీ	49	
యుం	48	
దిం	45	
1	44	
రిం	44	
చే	42	
జొ	40	
లూ	39	
రుం	38	
ఊ	37	
2	36	
ద్‌	36	
నూ	36	
ఒ	35	
4	34	
బీ	34	
డెం	33	
నో	33	
లే	33	
చొం	30	
గూం	29	
మీం	29	
వెం	29	
జం	28	
టొం	28	
డా	28	
డే	28	
రీ	27	
హొ	27	
కిం	25	
టుం	24	
వోం	24	
సెం	24	
య్‌	22	
నుం	21	
5	20	
గెం	20	
టీ	20	
పిం	20	
దూం	16	
యిం	16	
లిం	16	
కుం	14	
టెం	14	
గుం	12	
జ్‌	12	
రొం	12	
దెం	11	
3	10	
6	10	
కొం	10	
జాం	10	
టే	10	
పుం	10	
హూ	10	
7	9	
9	9	
చుం	9	
నొం	9	
8	8	
గూ	8	
బ్‌	8	
లాం	8	
వ్‌	8	
ఊం	7	
గే	7	
టో	7	
దొం	7	
యేం	7	
హుం	7	
టూ	6	
గాం	5	
చిం	5	
డూం	5	
డ్‌	5	
పెం	5	
పొం	5	
ప్‌	5	
బేం	5	
గిం	4	
జిం	4	
నాం	4	
మే	4	
రూం	4	
వొం	4	
హీ	4	
డీ	3	
మెం	3	
హెం	3	
కెం	2	
గీ	2	
గొం	2	
చేం	2	
డొం	2	
డో	2	
తొం	2	
బిం	2	
ముం	2	
మొం	2	
లొం	2	
వ‌	2	
గోం	1	
గ‌	1	
జుం	1	
జొం	1	
నోం	1	
బెం	1	
బొం	1	
య‌	1	
లీ	1	
వేం	1	
సిం	1	
సుం	1	
సూం	1	
సేం	1	
హేం	1	
