cluster	count	casing patterns
इ	38546	
र	30469	
मैं	24676	
ए	21921	
बै	21315	
ल	17277	
ले	15717	
बि	14847	
म्	14107	
या	14095	
च	13208	
सि	12991	
न्	12357	
क्	12124	
मुँ	11078	
हि	10848	
आ	10708	
ब्	10701	
ल्	10681	
त	10431	
ब	9650	
रि	9118	
ने	9079	
ह	8942	
स	8550	
ङ	8212	
यो	6878	
ला	6689	
प	6659	
ह्	6300	
ताँ	6188	
याँ	6128	
प्	6113	
र्	5960	
स्	5704	
न	5688	
हे	5677	
मा	5555	
जी	5542	
रो	5525	
ह्‍	5427	
व	5266	
इँ	5208	
त्	5162	
श्‍	4985	
उँ	4935	
रों	4921	
मिं	4777	
दि	4768	
क्‍	4651	
यु	4525	
मे	4249	
छ	4204	
ङ्	4093	
म	3949	
वा	3941	
ग	3899	
ख	3858	
यों	3853	
रे	3842	
खी	3489	
पिं	3263	
अ	3252	
बा	3195	
छ्	3101	
के	3096	
हा	3025	
रा	3001	
से	2989	
च्	2943	
धै	2903	
द्	2900	
थे	2868	
लि	2851	
ये	2818	
शू	2745	
हाँ	2707	
चु	2612	
क	2457	
ल्‍	2389	
सैं	2386	
हों	2371	
गे	2347	
वे	2307	
ना	2305	
म्‍	2279	
फि	2270	
हु	2237	
तो	2159	
सै	2149	
गि	1967	
मि	1955	
धों	1930	
खाँ	1876	
हो	1871	
घ्	1843	
ति	1786	
ख्	1693	
य	1678	
ङि	1660	
दा	1602	
ओ	1576	
स्‍	1571	
हिं	1568	
टि	1495	
ज्	1479	
लो	1477	
खा	1462	
पा	1462	
ट	1423	
झा	1402	
रु	1397	
को	1369	
ङाँ	1339	
ता	1332	
रू	1288	
थें	1279	
त्‍	1249	
ब्‍	1226	
ष्‍	1224	
सों	1204	
द	1183	
खों	1176	
हें	1175	
रें	1167	
प्‍	1165	
छा	1146	
ज	1109	
न्‍	1106	
कु	1095	
ध	1084	
लु	1080	
बे	1074	
ओं	1054	
यै	1045	
सा	1024	
फ	1007	
भ	1003	
ठि	986	
ग्	976	
री	969	
तों	963	
दु	963	
रुँ	959	
है	935	
जो	931	
गु	905	
ङिं	905	
नि	895	
खे	889	
श	854	
चि	852	
शा	849	
मु	846	
मो	814	
लै	801	
युँ	773	
पों	771	
भु	767	
सो	767	
खै	735	
पि	729	
छे	727	
थ	685	
वें	662	
धिं	661	
दुः	653	
नु	642	
च्‍	641	
ङ्‍	637	
हू	632	
का	631	
फे	626	
बु	618	
चे	610	
हुँ	604	
भों	581	
उ	559	
बो	538	
फा	536	
गों	535	
खो	529	
दों	522	
दी	515	
दो	511	
जा	510	
दे	503	
दै	503	
नाँ	499	
फ्	497	
सें	496	
किं	478	
श्	461	
ट्	446	
बी	442	
शि	439	
सी	439	
कू	436	
गा	420	
चा	420	
गो	410	
कै	409	
ड	402	
हैं	399	
ते	396	
धि	389	
ली	375	
खि	372	
रिं	371	
खें	368	
झों	363	
फै	353	
छैं	343	
फो	340	
पृ	335	
नो	333	
तु	325	
रै	316	
था	310	
दू	295	
थो	282	
कों	279	
ष	273	
थु	268	
ङो	265	
यू	258	
थुँ	246	
कि	244	
तिं	242	
छु	237	
हौ	237	
सुँ	236	
लिं	227	
खु	224	
