cluster	count	casing patterns
e	137904	
a	128174	
o	80122	
r	67099	
i	66468	
u	56659	
p	54519	
h	44209	
s	42198	
c	41994	
v	38828	
ɨ	35338	
t	30506	
m	28850	
y	27140	
n	23302	
d	14954	
b	14945	
g	11209	
ñ	8098	
ẽ	6083	
ã	4741	
é	3994	only_lower
ũ	3786	only_lower
ü	3289	only_lower
j	3147	
q	2458	
l	1773	
í	1663	only_lower
ú	1601	only_lower
ĩ	1031	only_lower
ɨ̃	933	only_lower
á	568	only_lower
ó	387	only_lower
f	384	
z	187	
õ	151	only_lower
ɨ́	48	only_lower
x	28	only_lower
k	10	only_lower
0	3	
4	2	
1	1	
