cluster	count	casing patterns
ا	84239	
و	76744	
ی	75861	
ه	70733	
ر	45058	
د	40982	
م	37269	
ن	30880	
ت	25877	
ک	25425	
دَ	20249	
س	20037	
ل	15421	
ز	15342	
ش	14337	
ب	12319	
خ	10471	
مُ	10228	
گ	9729	
خُ	7794	
دِ	7711	
شُ	7635	
مِ	7590	
ع	7554	
ق	7057	
اَ	6979	
بَ	6875	
ف	6861	
اُ	6406	
نِ	6180	
رِ	5943	
پ	5640	
ج	5144	
آ	5047	
نَ	4872	
ح	4370	
تِ	4285	
مَ	4223	
تُ	4198	
لِ	4172	
دُ	4084	
بُ	3889	
کُ	3834	
بِ	3676	
اِ	3569	
گُ	3332	
زُ	3311	
چ	3220	
ط	2705	
چِ	2487	
شِ	2463	
کِ	2437	
گِ	2392	
یٰ	2272	
زِ	2021	
رَ	2009	
سِ	1943	
رُ	1893	
تَ	1817	
هِ	1389	
ص	1301	
ے	1296	
نُ	1293	
چُ	1276	
پَ	1274	
یَ	1250	
قِ	1243	
غَ	1210	
قَ	1210	
وَ	1105	
غ	1102	
فِ	1011	
کَ	981	
ض	955	
قُ	932	
پُ	926	
حِ	869	
خِ	852	
لُ	821	
حَ	787	
زَ	746	
شَ	728	
سُ	708	
عِ	701	
جِ	698	
هُ	686	
وِ	674	
وُ	661	
صِ	590	
سَ	588	
ث	551	
ظ	542	
جُ	532	
لَ	522	
حُ	501	
خَ	410	
پِ	402	
یُ	389	
ٹ	388	
ه‌	380	
ضِ	346	
ئ	341	
فَ	329	
غُ	328	
جَ	320	
وّ	313	
دَّ	311	
صَ	305	
عَ	294	
یِ	289	
اً	268	
لّ	254	
ذ	251	
ضُ	225	
طِ	224	
ثِ	193	
ھ	190	
ی‌	186	
ثَ	170	
صُ	158	
چَ	158	
لَّ	142	
عُ	123	
هَ	122	
غِ	115	
ڈ	115	
گَ	112	
نّ	86	
ضَ	85	
طَ	82	
ت‌	81	
ظِ	70	
ٹِ	59	
ذَ	54	
ذِ	50	
ظُ	45	
صّ	42	
ظَ	39	
ٹَ	33	
ژ	32	
صِّ	29	
م‌	24	
ڈَ	24	
ح‌	17	
لٰ	15	
ل‌	14	
ئُ	14	
ش‌	13	
طُ	13	
۱	12	
سّ	11	
فُ	11	
ثُ	8	
دّ	8	
ق‌	8	
ن‌	8	
بّ	6	
ئِ	6	
ڈِ	6	
ک‌	6	
ھِ	6	
رِّ	5	
یَّ	5	
ب‌	4	
وَّ	4	
ٹُ	4	
کّ	4	
گ‌	4	
۳	4	
۸	4	
ءِ	3	
تّ	3	
س‌	3	
مّ	3	
ئَ	3	
۰	3	
۲	3	
۹	3	
ط‌	2	
ع‌	2	
لُّ	2	
نُّ	2	
و‌	2	
ے‌	2	
۵	2	
۶	2	
أ	1	
جّ	1	
خ‌	1	
د‌	1	
رّ	1	
ر‌	1	
زّ	1	
ف‌	1	
نَّ	1	
چ‌	1	
ڈُ	1	
ھَ	1	
ھُ	1	
ہ	1	
۴	1	
۷	1	
